Date,Day_of_Week,RDR_Trade_Direction,RDR_Confirmation_Candle,RDR_Confirmation_Candle_15min,RDR_Confirmation_Candle_30min,RDR_Box_STD,RDR_Max_EXT_Time,RDR_Max_EXT_Time_15min,RDR_Max_EXT_Time_30min,RDR_Max_RET_Time,RDR_Max_RET_Time_15min,RDR_Max_RET_Time_30min,RDR_M7_Time,RDR_M7_Time_15min,RDR_M7_Time_30min,RDR_RBC_Time,RDR_RBC_Time_15min,RDR_RBC_Time_30min,RDR_M7_Retrace,RDR_Max_Ext_STD,RDR_Max_Ret_STD,RDR_RBC_STD,RDR_Session_True,Confirmation_Size_STD
2008-01-02,Wednesday,Long,11:00:00,11:00:00,11:00:00,-0.5116279069767334,14:20:00,14:15:00,14:00:00,11:05:00,11:00:00,11:00:00,11:05:00,11:00:00,11:00:00,10:30:00,10:30:00,10:30:00,0.30232558139533344,3.6744186046511005,0.30232558139533344,-0.9302325581395333,True,0.790697674418567
2008-01-03,Thursday,Short,10:30:00,10:30:00,10:30:00,-0.38297872340427075,14:15:00,14:15:00,14:00:00,11:55:00,11:45:00,11:30:00,11:55:00,11:45:00,11:30:00,10:30:00,10:30:00,10:30:00,-1.9787234042553385,1.5106382978723307,-1.9787234042553385,-1.425531914893624,False,1.1063829787233985
2008-01-04,Friday,Short,11:10:00,11:00:00,11:00:00,-0.4899999999999949,13:40:00,13:30:00,13:30:00,12:10:00,12:00:00,12:00:00,12:10:00,12:00:00,12:00:00,10:55:00,10:45:00,10:30:00,-0.7600000000000051,0.25,-0.7600000000000051,-0.5800000000000125,True,0.1799999999999926
2008-01-07,Monday,Short,10:40:00,10:30:00,10:30:00,-1.1645569620253304,11:20:00,11:15:00,11:00:00,10:45:00,10:45:00,10:30:00,10:45:00,10:45:00,10:30:00,10:30:00,10:30:00,10:30:00,0.45569620253164944,2.468354430379775,0.45569620253164944,-0.26582278481012134,True,0.6075949367088719
2008-01-08,Tuesday,Short,10:30:00,10:30:00,10:30:00,-0.8135593220339004,15:55:00,15:45:00,15:30:00,11:50:00,11:45:00,11:30:00,11:50:00,11:45:00,11:30:00,10:30:00,10:30:00,10:30:00,-1.7118644067796598,0.644067796610158,-1.7118644067796598,-0.2881355932203402,False,0.35593220338984194
2008-01-09,Wednesday,Long,10:50:00,10:45:00,10:30:00,-0.674418604651189,11:20:00,11:15:00,11:00:00,14:30:00,14:30:00,14:30:00,10:55:00,10:45:00,10:30:00,10:30:00,10:30:00,10:30:00,0.5813953488372193,4.41860465116288,-1.5116279069767504,-1.4418604651162814,False,0.8139534883721269
2008-01-10,Thursday,Short,11:00:00,11:00:00,11:00:00,0.18867924528300775,11:10:00,11:00:00,11:00:00,12:30:00,12:30:00,12:30:00,11:05:00,11:00:00,11:00:00,10:35:00,10:30:00,10:30:00,0.0,0.7169811320754615,-2.207547169811319,-1.301886792452823,False,0.3207547169811346
2008-01-11,Friday,Long,10:35:00,10:30:00,10:30:00,-0.3720930232558001,10:55:00,10:45:00,10:30:00,13:55:00,13:45:00,13:30:00,10:40:00,10:30:00,10:30:00,10:30:00,10:30:00,10:30:00,0.41860465116276685,1.3023255813953005,-2.0232558139534667,-0.6279069767441999,False,0.6744186046511336
2008-01-14,Monday,Long,11:25:00,11:15:00,11:00:00,-0.9230769230769281,15:00:00,15:00:00,15:00:00,12:40:00,12:30:00,12:30:00,12:40:00,12:30:00,12:30:00,10:30:00,10:30:00,10:30:00,-0.8615384615384575,0.7538461538461394,-0.8615384615384575,-1.1076923076922962,True,0.5538461538461481
2008-01-15,Tuesday,Short,12:05:00,12:00:00,12:00:00,-0.6923076923076906,13:20:00,13:15:00,13:00:00,15:35:00,15:30:00,15:30:00,13:00:00,13:00:00,13:00:00,11:15:00,11:15:00,11:00:00,-0.2307692307692375,0.7538461538461394,-1.092307692307695,-1.1076923076922962,True,0.3230769230769106
2008-01-16,Wednesday,Short,10:30:00,10:30:00,10:30:00,-1.1186440677965979,10:55:00,10:45:00,10:30:00,14:20:00,14:15:00,14:00:00,10:40:00,10:30:00,10:30:00,10:30:00,10:30:00,10:30:00,1.0338983050847388,2.4237288135592956,-0.8474576271186391,-0.016949152542381454,True,1.966101694915237
2008-01-17,Thursday,Short,11:15:00,11:15:00,11:00:00,-0.5624999999999926,12:10:00,12:00:00,12:00:00,11:50:00,11:45:00,11:30:00,11:50:00,11:45:00,11:30:00,10:30:00,10:30:00,10:30:00,0.006944444444448008,0.7013888888888935,0.006944444444448008,-0.3263888888888886,True,0.2777777777777723
2008-01-18,Friday,Short,11:10:00,11:00:00,11:00:00,0.3181818181818211,11:55:00,11:45:00,11:30:00,14:25:00,14:15:00,14:00:00,11:35:00,11:30:00,11:30:00,10:50:00,10:45:00,10:30:00,0.0909090909091056,1.9772727272727477,-0.13636363636364224,-0.8636363636363578,True,1.2727272727272845
2008-01-21,Monday,Long,10:35:00,10:30:00,10:30:00,0.45000000000001067,10:40:00,10:30:00,10:30:00,14:25:00,14:15:00,14:00:00,10:40:00,10:30:00,10:30:00,10:30:00,10:30:00,10:30:00,0.5499999999999894,0.7999999999999716,-2.450000000000011,-0.15000000000000355,False,0.3999999999999858
2008-01-22,Tuesday,Long,10:35:00,10:30:00,10:30:00,0.7227722772277231,14:20:00,14:15:00,14:00:00,11:55:00,11:45:00,11:30:00,11:55:00,11:45:00,11:30:00,10:30:00,10:30:00,10:30:00,0.0,1.1386138613861385,0.0,-0.08910891089109203,True,0.5049504950495075
2008-01-23,Wednesday,Short,11:35:00,11:30:00,11:30:00,1.0169491525423573,12:40:00,12:30:00,12:30:00,15:45:00,15:45:00,15:30:00,11:55:00,11:45:00,11:30:00,10:30:00,10:30:00,10:30:00,0.18644067796609964,1.7118644067796358,-0.2711864406779588,-1.084745762711859,True,0.6271186440677766
2008-01-24,Thursday,Short,10:55:00,10:45:00,10:30:00,-0.7241379310344811,11:00:00,11:00:00,11:00:00,15:05:00,15:00:00,15:00:00,11:00:00,11:00:00,11:00:00,10:35:00,10:30:00,10:30:00,1.0344827586207082,2.275862068965568,-7.172413793103639,-2.0689655172414163,False,1.9310344827586816
2008-01-25,Friday,Short,10:50:00,10:45:00,10:30:00,0.3478260869565392,13:50:00,13:45:00,13:30:00,12:05:00,12:00:00,12:00:00,12:05:00,12:00:00,12:00:00,10:40:00,10:30:00,10:30:00,-1.0434782608695559,2.4999999999999383,-1.0434782608695559,-0.7173913043478408,True,0.32608695652171493
2008-01-28,Monday,Long,11:00:00,11:00:00,11:00:00,-0.6250000000000127,13:50:00,13:45:00,13:30:00,11:10:00,11:00:00,11:00:00,11:10:00,11:00:00,11:00:00,10:30:00,10:30:00,10:30:00,0.35714285714286076,3.5357142857142785,0.35714285714286076,-0.6428571428571392,True,0.5892857142857089
2008-01-29,Tuesday,Long,10:55:00,10:45:00,10:30:00,0.27027027027026196,15:50:00,15:45:00,15:30:00,13:10:00,13:00:00,13:00:00,13:10:00,13:00:00,13:00:00,10:40:00,10:30:00,10:30:00,-0.5405405405405239,2.7297297297298146,-0.5405405405405239,-0.5945945945946071,True,1.1351351351351693
2008-01-30,Wednesday,Short,10:30:00,10:30:00,10:30:00,-0.26923076923079237,11:40:00,11:30:00,11:30:00,15:05:00,15:00:00,15:00:00,11:10:00,11:00:00,11:00:00,10:30:00,10:30:00,10:30:00,-0.8846153846153825,3.3076923076922404,-1.769230769230765,0.0,False,2.961538461538388
2008-01-31,Thursday,Long,11:50:00,11:45:00,11:30:00,-1.1714285714286212,13:55:00,13:45:00,13:30:00,13:05:00,13:00:00,13:00:00,13:05:00,13:00:00,13:00:00,10:45:00,10:45:00,10:30:00,0.6571428571428792,6.171428571428662,0.6571428571428792,-1.571428571428589,True,1.6000000000000325
2008-02-01,Friday,Short,10:35:00,10:30:00,10:30:00,-0.8607594936708854,13:05:00,13:00:00,13:00:00,11:20:00,11:15:00,11:00:00,11:20:00,11:15:00,11:00:00,10:35:00,10:30:00,10:30:00,-0.06329113924050336,2.2025316455696538,-0.06329113924050336,-0.15189873417720448,True,0.17721518987342022
2008-02-04,Monday,Long,10:55:00,10:45:00,10:30:00,0.4430379746835516,12:45:00,12:45:00,12:30:00,14:10:00,14:00:00,14:00:00,11:00:00,11:00:00,11:00:00,10:30:00,10:30:00,10:30:00,0.22784810126581162,1.569620253164538,0.012658227848089653,-0.20253164556961434,True,0.3164556962025291
2008-02-05,Tuesday,Short,11:00:00,11:00:00,11:00:00,0.30232558139533344,13:45:00,13:45:00,13:30:00,12:00:00,12:00:00,12:00:00,12:00:00,12:00:00,12:00:00,10:30:00,10:30:00,10:30:00,-1.9534883720930003,1.3255813953488003,-1.9534883720930003,-1.2790697674418665,False,0.7674418604651001
