date,Day,Holiday,ADR_Model,ADR_Confirmation,ADR_True_False,ADR Mid Trans,ADR Mid Box,ADR Mid Session,ODR_Model,ODR_CONF_TIME,ODR_Confirmation,ODR_True_False,ODR Box Color,ODR MAX RET TIME,ODR MAX EXT TIME,ODR Close Price,ODR Close Location,ODR Mid Trans,ODR Mid Box,ODR Mid Session,TRANS MAX RET,TRANS MAX EXT,TRANS LOW TIME,TRANS HIGH TIME,RDR_Model,RDR Box Color,RDR_Confirmation,RDR_True_False,RDR_CONF_TIME,RDR IDR MID,RDR DR MID,rdr_idr_highSD,rdr_idr_lowSD,ADR Mid RDR Trans,ADR Mid RDR Box,ADR Mid RDR Session,time_of_day_max_price,time_of_day_min_price
2/28/2024,Wednesday,No,UXP/UX,Long,FALSE,broken,intact,broken,DXP,4:00,Short,FALSE,red,8:15,4:15,-1.674,Above,intact,intact,broken,-3.349,-1.674,8:30,9:20,UXP,red,Short,TRUE,10:30,-3.198,-3.174,-3.651,-2.744,intact,intact,broken,09:45,04:15
2/27/2024,Tuesday,No,UXP/UX,Short,TRUE,intact,broken,broken,RX,4:00,Short,TRUE,red,5:00,6:45,0.118,Below,broken,intact,intact,-1.853,0.588,8:35,9:05,UXP,green,Long,TRUE,11:00,-2.088,-1.809,-2.412,-1.765,broken,intact,intact,13:50,06:45
2/26/2024,Monday,No,DXP/DX,Short,TRUE,broken,intact,broken,DX,5:30,Long,TRUE,green,7:30,8:15,0.679,Above,intact,intact,intact,0.214,1.821,9:25,9:05,UXP,green,Long,TRUE,11:10,2.054,1.643,3.071,1.036,broken,broken,intact,13:15,03:05
2/23/2024,Friday,No,UXP/UX,Long,FALSE,intact,intact,intact,DXP,4:00,Short,TRUE,red,4:00,8:15,2.03,Below,intact,intact,intact,0.455,2.939,9:25,8:50,DXP,red,Long,FALSE,10:40,2.97,2.864,2.576,3.364,intact,intact,intact,20:50,13:05
2/22/2024,Thursday,No,UXP/UX,Short,FALSE,intact,intact,broken,UX,4:15,Short,FALSE,red,5:00,8:15,2,Below,intact,broken,broken,1.043,3.826,9:05,8:35,D,green,Long,TRUE,11:00,0.478,0.565,-0.565,1.522,intact,broken,broken,12:35,09:05
2/21/2024,Wednesday,No,DXP/DX,Long,TRUE,broken,intact,intact,DXP,8:00,Long,TRUE,red,8:15,8:00,-0.173,Inside,broken,intact,intact,-0.519,0.577,9:10,9:00,UXP,green,Long,TRUE,10:40,0.442,0.567,0.788,0.096,broken,broken,intact,15:40,04:00
2/20/2024,Tuesday,No,D,Long,TRUE,intact,broken,intact,RX,4:15,Short,TRUE,red,4:30,7:30,0.489,Below,broken,broken,intact,-0.66,0.66,8:35,9:25,DX,red,Short,TRUE,10:30,0.457,0.319,-0.106,1.021,broken,broken,intact,03:00,11:20
2/16/2024,Friday,No,UXP/UX,Long,TRUE,broken,broken,intact,DX,4:00,Short,TRUE,red,8:15,6:45,0,Inside,broken,broken,broken,-2.771,0.629,8:30,9:20,UX,red,Long,TRUE,12:10,-1.557,-1.486,-2.457,-0.657,broken,broken,broken,14:25,06:45
2/15/2024,Thursday,No,DXP/DX,Short,TRUE,broken,broken,broken,RX,4:00,Long,FALSE,green,6:15,4:15,0.023,Inside,intact,intact,intact,-0.386,1.295,8:45,9:05,UXP,green,Long,TRUE,10:30,1.682,1.545,2.318,1.045,broken,intact,intact,11:55,06:25
2/14/2024,Wednesday,No,RC,Long,TRUE,intact,intact,intact,UXP,6:00,Long,FALSE,red,6:30,8:15,0.652,Above,intact,intact,broken,0.043,2.174,9:10,9:00,UXP,red,Short,TRUE,10:30,1.739,1.63,2.913,0.565,intact,intact,broken,09:50,15:10
2/13/2024,Tuesday,No,RC,Long,TRUE,intact,broken,broken,UX,4:30,Long,TRUE,red,7:45,5:15,1.125,Above,broken,broken,broken,-0.938,1.687,8:45,8:30,U,red,Long,TRUE,11:05,-0.094,0.031,0.75,-0.938,intact,broken,broken,12:50,09:40
2/12/2024,Monday,No,DXP/DX,Short,FALSE,intact,broken,broken,DXP,4:30,Long,FALSE,red,7:45,4:30,-0.828,Inside,broken,intact,intact,-2.759,0.759,8:55,9:20,UXP,green,NO_CONF,NO_CONF,,1.569,1.466,2.345,0.793,broken,broken,intact,10:05,08:55
2/9/2024,Friday,No,UXP/UX,Short,TRUE,intact,broken,broken,RX,4:45,Long,FALSE,green,8:00,4:45,-1.161,Inside,broken,intact,broken,-1.645,1.419,8:40,9:25,UXP,red,Short,TRUE,10:40,1.306,1.29,2.29,0.323,broken,intact,broken,09:45,08:00
2/8/2024,Thursday,No,UXP/UX,Long,TRUE,intact,broken,broken,RX,4:15,Short,FALSE,red,8:00,4:30,-3.032,Above,intact,intact,intact,-4.129,-2.419,8:55,9:15,UXP,green,Long,TRUE,10:35,-4.71,-4.516,-5.323,-4.097,intact,intact,intact,14:55,04:35
2/7/2024,Wednesday,No,UXP/UX,Short,TRUE,intact,broken,broken,D,4:15,Long,TRUE,green,6:00,6:30,0.815,Above,intact,broken,broken,-0.222,1.222,9:20,9:00,U,green,Short,FALSE,10:45,0.13,0.185,0.889,-0.63,intact,broken,broken,06:35,02:40
2/6/2024,Tuesday,No,UXP/UX,Long,TRUE,intact,broken,broken,U,4:00,Short,FALSE,red,8:00,4:30,-1.347,Above,intact,intact,broken,-1.592,-0.837,8:40,9:25,UXP,green,Short,FALSE,10:40,-1.653,-1.561,-2,-1.306,intact,intact,intact,12:10,04:30
2/5/2024,Monday,No,RC,Short,FALSE,broken,broken,intact,D,4:00,Short,TRUE,red,8:00,7:00,0.742,Below,broken,broken,broken,-1.452,0.742,8:30,9:05,DXP,red,Long,TRUE,12:00,1.226,0.613,0.194,2.258,broken,broken,broken,13:25,09:45
2/2/2024,Friday,No,DXP/DX,Short,TRUE,broken,intact,broken,DX,4:30,Long,FALSE,red,8:15,5:15,-2.368,Below,intact,intact,intact,-3.974,-1.237,9:25,8:45,DXP,green,NO_CONF,NO_CONF,,-4.25,-4.566,-3.053,-5.447,intact,intact,intact,05:20,10:00
2/1/2024,Thursday,No,DXP/DX,Long,TRUE,broken,broken,broken,DX,4:00,Long,TRUE,NEUTRAL,7:45,8:15,1.426,Above,intact,intact,broken,-0.043,1.787,9:25,9:00,UXP,green,Short,TRUE,11:00,1.372,1.266,1.936,0.809,broken,intact,broken,10:15,14:30
1/31/2024,Wednesday,No,UXP/UX,Short,TRUE,intact,intact,intact,DX,4:00,Short,TRUE,red,4:15,8:00,1.324,Below,intact,intact,intact,-0.351,1.405,8:35,9:15,DXP,red,Short,TRUE,10:35,1.689,1.568,0.568,2.811,intact,intact,intact,19:30,13:40
1/30/2024,Tuesday,No,UXP/UX,Long,FALSE,broken,intact,broken,DXP,4:15,Long,FALSE,red,8:15,4:30,-1.756,Below,broken,intact,intact,-2.289,0.333,8:35,9:25,UX,red,Long,TRUE,10:45,0.344,0.444,1.022,-0.333,intact,broken,broken,13:30,08:35
1/29/2024,Monday,No,UXP/UX,NO_CONF,NO_CONF,broken,broken,intact,D,4:00,Short,TRUE,red,6:30,5:15,1.268,Below,intact,intact,intact,1.024,2.024,8:55,9:00,DXP,red,NO_CONF,NO_CONF,,3,2.622,2.415,3.585,intact,intact,intact,19:30,14:15
1/26/2024,Friday,No,UXP/UX,Short,TRUE,intact,intact,intact,DXP,4:00,Short,TRUE,red,6:45,4:15,1.312,Below,broken,intact,broken,-1.875,1.437,8:30,9:10,UXP,green,Long,FALSE,10:40,-3.156,-3.312,-4.25,-2.062,intact,broken,broken,15:50,12:15
1/25/2024,Thursday,No,UXP/UX,Short,FALSE,broken,intact,intact,UXP,4:00,Long,TRUE,green,8:00,4:15,0.5,Above,intact,intact,intact,0.25,2.187,8:30,9:20,UXP,red,Short,FALSE,10:30,2.047,2,2.5,1.594,intact,intact,intact,14:50,20:55
1/24/2024,Wednesday,No,RC,Long,FALSE,broken,broken,broken,UXP,4:00,Long,FALSE,red,7:30,6:30,-0.455,Inside,broken,broken,broken,-0.576,0.97,8:30,9:00,U,red,Long,TRUE,11:00,0.106,0.091,0.939,-0.727,intact,intact,intact,11:55,07:35
1/23/2024,Tuesday,No,UXP/UX,Short,FALSE,intact,intact,broken,UXP,4:00,Short,TRUE,red,4:00,6:45,3.476,Below,intact,broken,broken,2.571,6.571,9:00,9:25,DX,green,Long,FALSE,11:05,1.143,1.095,-0.095,2.381,intact,broken,broken,11:15,09:00
1/22/2024,Monday,No,DXP/DX,Long,FALSE,broken,intact,broken,DXP,4:30,Long,TRUE,red,5:00,4:45,2.28,Above,intact,intact,intact,1.32,3.92,8:45,9:10,UXP,green,Long,TRUE,10:40,4.5,4.24,5.96,3.04,intact,intact,intact,13:15,04:00
1/19/2024,Friday,No,UXP/UX,Short,TRUE,broken,broken,broken,UX,4:30,Long,FALSE,green,8:00,6:15,-1.929,Below,broken,broken,broken,-2.071,0.571,8:30,9:25,UX,red,Short,TRUE,10:55,0.357,0.286,1.107,-0.393,broken,intact,broken,10:05,12:10
1/18/2024,Thursday,No,UXP/UX,Short,FALSE,intact,broken,broken,UX,6:15,Long,FALSE,red,8:15,4:45,-2.538,Below,broken,broken,broken,-3.885,0.654,8:35,9:20,D,red,Long,TRUE,10:45,-0.942,-0.923,-0.231,-1.654,broken,broken,intact,14:00,08:35
1/17/2024,Wednesday,No,RC,Short,FALSE,intact,intact,intact,DXP,4:15,Short,TRUE,red,7:00,8:00,0.619,Below,intact,broken,intact,-0.167,1.429,9:10,9:25,RX,green,Long,TRUE,10:30,-0.429,-0.357,-1.071,0.214,intact,intact,broken,15:00,09:10
1/16/2024,Tuesday,No,UXP/UX,Short,TRUE,broken,broken,broken,RX,5:00,Long,TRUE,green,6:45,4:15,0.359,Above,broken,broken,broken,-0.594,0.562,9:00,8:30,RX,red,Short,TRUE,10:30,-0.687,-0.719,0.156,-1.531,broken,broken,broken,08:00,10:35
1/12/2024,Friday,No,UXP/UX,Long,FALSE,broken,intact,broken,UXP,4:00,Short,FALSE,green,6:00,8:00,-1.5,Above,broken,broken,broken,-2.875,0.083,9:10,8:35,U,red,Short,TRUE,10:30,-2.063,-2.167,-3.708,-0.417,intact,intact,broken,06:05,12:55
1/11/2024,Thursday,No,DXP/DX,Long,TRUE,intact,broken,intact,U,4:00,Long,TRUE,NEUTRAL,4:00,5:00,1.917,Above,intact,intact,intact,0.896,2.875,8:30,9:25,UXP,green,Long,FALSE,10:30,2.469,2.354,2.937,2,intact,intact,intact,11:20,19:30
1/10/2024,Wednesday,No,UXP/UX,Long,TRUE,broken,broken,broken,RX,4:00,Short,FALSE,red,8:00,8:00,-2.419,Above,intact,intact,broken,-3.209,-1.581,9:15,8:45,UXP,green,Short,TRUE,10:30,-2.756,-2.767,-3.279,-2.233,intact,intact,broken,10:05,13:35
1/9/2024,Tuesday,No,UXP/UX,Long,FALSE,broken,intact,intact,UXP,4:15,Long,TRUE,green,4:15,8:15,3.581,Above,intact,intact,intact,1.097,4.484,8:55,8:30,UX,red,Long,TRUE,11:15,0.645,0.661,1.613,-0.323,intact,intact,intact,08:10,00:40
1/8/2024,Monday,No,RC,Short,TRUE,intact,intact,intact,DXP,5:00,Short,TRUE,green,5:00,8:00,5.517,Below,intact,intact,intact,5.034,7.724,9:10,8:45,DXP,red,Long,TRUE,10:40,8.431,8.414,7.586,9.276,intact,intact,intact,19:30,09:40
1/5/2024,Friday,No,DXP/DX,Long,TRUE,broken,broken,broken,U,4:00,Long,TRUE,green,6:00,4:00,0.511,Above,intact,intact,intact,-0.089,2.356,8:35,9:05,UXP,red,NO_CONF,NO_CONF,,1.856,1.878,2.533,1.178,intact,intact,intact,10:00,19:30
1/4/2024,Thursday,No,UXP/UX,Long,TRUE,intact,intact,broken,UXP,4:00,Long,FALSE,green,8:00,4:15,-1.321,Inside,intact,intact,intact,-3.036,-0.571,9:25,8:45,DXP,red,Short,TRUE,10:35,-3.429,-3.482,-2.179,-4.679,broken,broken,intact,04:05,11:30
1/3/2024,Wednesday,No,DXP/DX,Short,TRUE,intact,intact,broken,DXP,4:00,Short,FALSE,red,8:00,8:00,-4.154,Above,intact,intact,intact,-7.769,-2.731,9:00,9:25,UXP,green,Long,TRUE,10:50,-8.519,-8.692,-10.615,-6.423,broken,intact,intact,15:30,04:25
1/2/2024,Tuesday,No,RX,Long,TRUE,intact,intact,intact,UX,4:15,Long,TRUE,green,4:45,4:30,0.839,Above,broken,intact,intact,-2,2.452,9:20,8:55,DXP,red,Short,TRUE,11:10,-4.081,-3.419,-3.323,-4.839,broken,intact,intact,08:55,14:05
12/29/2023,Friday,No,DXP/DX,Short,FALSE,broken,intact,broken,UX,4:00,Long,FALSE,green,5:30,8:00,-1.25,Below,broken,broken,broken,-1.393,1.286,8:30,9:20,RX,red,Short,TRUE,10:45,-0.054,-0.196,0.929,-1.036,broken,broken,broken,09:20,14:35
12/28/2023,Thursday,No,DXP/DX,Long,FALSE,broken,broken,intact,D,4:00,Short,TRUE,red,4:45,4:00,0.73,Below,intact,intact,intact,-0.27,1.016,8:45,9:00,DX,green,Short,TRUE,11:40,0.151,0.183,-0.286,0.587,intact,intact,intact,20:35,14:25
12/27/2023,Wednesday,No,DXP/DX,Long,TRUE,intact,intact,broken,UXP,4:00,Long,FALSE,green,8:00,8:15,-3.9,Below,intact,intact,intact,-3.95,-0.65,8:30,9:00,DXP,green,Short,TRUE,11:25,-2.675,-2.85,-1.85,-3.5,broken,intact,intact,04:00,15:55
12/26/2023,Tuesday,No,DXP/DX,Long,TRUE,broken,broken,broken,RX,7:15,Long,TRUE,red,7:45,4:15,1.557,Above,intact,intact,intact,1.471,2.671,8:30,9:20,UXP,red,Long,FALSE,11:20,2.336,2.321,2.514,2.157,intact,intact,intact,12:15,03:25
12/22/2023,Friday,No,UXP/UX,Long,TRUE,intact,intact,intact,UXP,4:00,Long,FALSE,green,7:15,8:15,-1.409,Below,broken,broken,intact,-1.909,0.545,8:30,8:50,U,red,Short,TRUE,10:35,-0.114,-0.068,0.682,-0.909,intact,intact,broken,10:05,11:00
12/21/2023,Thursday,No,DXP/DX,Long,TRUE,intact,intact,broken,UXP,5:30,Short,TRUE,green,5:45,5:30,4.767,Below,intact,intact,intact,3.067,6.033,8:30,9:00,DXP,green,Long,TRUE,11:10,2.4,2.583,1.4,3.4,intact,broken,broken,03:55,08:30
12/20/2023,Wednesday,No,UXP/UX,Long,FALSE,broken,intact,intact,UXP,5:00,Long,TRUE,green,8:00,6:00,0.225,Above,intact,intact,broken,0.05,1.15,8:30,9:25,UXP,red,Short,TRUE,10:30,0.688,0.763,1.225,0.15,intact,intact,broken,09:30,13:35
12/19/2023,Tuesday,No,DXP/DX,Short,TRUE,intact,intact,broken,DXP,5:30,Long,TRUE,red,7:45,5:15,0.183,Above,intact,intact,intact,-0.133,1.05,8:35,9:25,UXP,green,Long,TRUE,10:45,1.233,1.175,1.6,0.867,broken,intact,intact,15:45,03:25
12/18/2023,Monday,No,UXP/UX,Short,FALSE,broken,broken,broken,RC,4:00,Short,FALSE,green,8:15,7:30,-5.455,Above,intact,intact,intact,-7.864,-5.182,8:30,9:25,UXP,equal,Short,TRUE,10:45,-9.386,-9.227,-11,-7.773,intact,intact,intact,10:10,05:20
12/15/2023,Friday,No,DXP/DX,Long,TRUE,broken,broken,broken,RX,4:00,Long,TRUE,green,5:00,8:00,0.409,Above,broken,broken,broken,-1.182,0.523,8:40,8:30,DXP,red,Long,TRUE,12:15,-2.477,-2.125,-1.273,-3.682,broken,broken,broken,07:35,10:20
12/14/2023,Thursday,No,UXP/UX,Short,TRUE,intact,broken,intact,U,4:30,Long,TRUE,green,4:30,8:00,1.591,Above,intact,intact,intact,1.455,3.114,8:30,9:10,UXP,green,Long,FALSE,12:05,3.466,3.318,3.864,3.068,intact,intact,intact,12:35,23:15
12/13/2023,Wednesday,No,DXP/DX,Long,FALSE,intact,intact,broken,DXP,4:15,Long,TRUE,green,4:15,4:15,3.448,Above,intact,intact,intact,2.034,4.448,9:25,8:50,UXP,green,Long,TRUE,10:45,3.276,3.103,3.828,2.724,intact,intact,intact,15:55,03:45
12/12/2023,Tuesday,No,UXP/UX,Long,TRUE,intact,broken,broken,UX,4:15,Long,FALSE,red,8:15,6:00,-3.909,Below,intact,intact,intact,-11.182,-3.409,9:20,8:30,DXP,red,Short,TRUE,11:15,-10.795,-10.932,-9.409,-12.182,intact,intact,intact,02:05,13:40
12/11/2023,Monday,No,UXP/UX,Long,TRUE,intact,broken,broken,U,4:00,Short,TRUE,red,8:00,4:00,0.289,Below,intact,intact,broken,-0.022,1.178,9:00,8:45,DXP,red,Short,FALSE,11:15,0.567,0.478,0.178,0.956,intact,broken,broken,01:55,06:00
12/8/2023,Friday,No,DXP/DX,Long,TRUE,intact,intact,intact,UXP,4:00,Long,FALSE,green,5:15,5:15,-0.087,Inside,broken,broken,broken,-1.152,0.304,9:15,8:40,U,green,NO_CONF,NO_CONF,,0.163,0.185,1.065,-0.739,intact,intact,intact,10:25,20:10
12/7/2023,Thursday,No,DXP/DX,Long,TRUE,broken,broken,broken,UX,4:00,Long,FALSE,green,7:00,6:30,0.577,Above,intact,broken,broken,0.154,1.885,8:55,8:45,UX,red,Short,TRUE,10:45,0.308,0.365,1.077,-0.462,intact,intact,broken,08:45,12:30
12/6/2023,Wednesday,No,DXP/DX,Long,TRUE,intact,broken,broken,RX,4:30,Short,TRUE,red,4:30,8:15,1.077,Below,intact,intact,intact,0.923,4.128,9:25,8:30,DXP,green,Short,TRUE,10:40,3.769,3.744,3.077,4.462,intact,intact,intact,22:05,12:20
12/5/2023,Tuesday,No,RC,Short,TRUE,broken,intact,broken,UXP,6:15,Short,TRUE,green,6:15,4:30,1.857,Below,broken,broken,broken,-0.607,1.911,8:30,9:10,RC,green,Short,TRUE,10:50,-0.625,-0.58,-0.929,-0.321,broken,intact,broken,10:00,08:15
12/4/2023,Monday,No,DXP/DX,Short,TRUE,intact,intact,intact,DXP,4:00,Short,FALSE,red,8:15,6:00,-2.444,Above,broken,broken,broken,-2.5,0.139,9:00,8:30,RX,green,Long,TRUE,10:35,-1.111,-1.139,-3.389,1.167,intact,intact,broken,19:40,10:05
