Date,Day,RDRtoADR,BrokenADR,ADRBOX,ADRConfirm,MaxExtensionADR,MaxRetraceADR,ADRtoODR,BrokenODR,ODRBOX,ODRConfirm,MaxExtensionODR,MaxRetraceODR,ODRtoRDR,BrokenRDR,RDRBOX,RDRConfirm,MaxExtensionRDR,MaxRetraceRDR
12/31/2015,thursday,squeeze,na,green,long false,3.9,-6,range x,na,na,short,3.9,0.4,downside,yes,green,long,2.8,0.1
1/4/2016,monday,upside x plus,no,red,short,1.7,-0.3,down x plus,no,red,long,0.8,-0.6,upside x plus,yes,green,short,2.4,0
1/5/2016,tuesday,down x plus,no,red,long,2.7,-1.9,down x plus,yes,red,long false,1.3,-2,down x plus,no,red,short,1.3,-0.1
1/6/2016,wednesday,squeeze,na,red,short,1.3,0.1,down x plus,no,red,short,3.4,0.6,down x plus,no,green,short,2,0.1
1/7/2016,thursday,down x plus,no,red,short,4.8,0.3,down x plus,no,green,long,0.9,-0.9,upside x plus,no,green,long,2.3,-1.2
1/8/2016,friday,upside x,no,green,na,na,na,squeeze,na,red,short,2.3,-0.8,down x plus,no,red,long,0.6,-0.9
1/11/2016,monday,down x plus,no,green,short,1,-0.7,downside,yes,green,long,1.7,0.6,range x,na,red,short,3.8,0.2
1/12/2016,tuesday,down x plus,no,red,short,3.1,-0.1,down x plus,yes,green,long,10.6,-0.2,upside x plus,yes,red,short,1.1,-0.1
1/13/2016,wednesday,down x,no,green,long,0.5,-1.2,upside x,no,green,na,na,na,upside x,yes,red,short,3.2,0.9
1/14/2016,thursday,down x plus,no,red,long,0.5,-0.1,upside x,no,red,long,1.1,-0.2,upside x,no,green,long,0.8,-0.8
1/15/2016,friday,squeeze,na,red,short,2,-0.4,down x plus,no,red,short,0.5,-0.1,down x,no,na,short,0.7,-0.7
1/18/2016,monday,down x plus,no,green,long false,0.2,-1.3,squeeze,na,green,long,1.9,-0.3,squeeze,na,na,long,1.9,-1.3
1/19/2016,tuesday,upside x,no,green,long,2.3,0.1,upside x plus,no,red,long,3.4,-1.2,down x plus,no,red,short,0.7,0
1/20/2016,wednesday,down x plus,no,red,short,3,0.1,down x plus,no,red,long,0.7,-1.2,range x,no,red,short,1.4,-1.2
1/21/2016,thursday,squeeze,na,red,short,3.2,0.2,down x plus,no,red,long,0.2,-1.2,upside,no,green,long,2.2,0.2
1/22/2016,friday,upside x plus,na,na,short false,2.1,-11.6,upside x plus,no,green,long,1.2,-0.8,upside x plus,no,green,long,1.5,0.1
1/25/2016,monday,upside x plus,no,red,long,1.7,0.1,down x plus,no,red,na,na,na,squeeze,na,red,short,2,0
1/26/2016,tuesday,down x plus,no,green,short,2.5,0.2,down x plus,yes,green,long,5.9,0.1,upside x plus,no,green,long,2.1,-0.3
1/27/2016,wednesday,squeeze,na,green,short false,0.8,-2.9,down x,yes,red,short false,1,-1.8,upside x,no,red,long,3,-0.3
1/28/2016,thursday,upside x plus,no,green,long false,0.4,-1.5,upside x plus,no,green,long,2,-1.2,upside x plus,no,red,short,0.5,-0.7
1/29/2016,friday,squeeze,na,na,long,5.9,-1.4,upside x plus,yes,red,short,1.2,-0.4,upside,yes,red,short,1.3,-0.4
2/1/2016,monday,down x plus,no,red,short,1.4,-0.7,down x plus,yes,red,long false,1,-2.9,down x plus,no,red,short,1.3,-0.4
2/2/2016,tuesday,down x plus,no,red,short,4,0,down x plus,no,red,short,2,0.1,down x plus,no,red,long,1.9,-1.3
2/3/2016,wednesday,down x plus,no,red,long,3.2,0.4,upside x plus,no,green,long,0.5,-0.9,upside x,yes,red,short false,1.6,-6.7
2/4/2016,thursday,upside x plus,no,green,long,0.2,0,downside,yes,red,short,2,0,upside x plus,yes,red,short,2.8,0.1
2/5/2016,friday,down x plus,no,na,long,1,-0.8,down x plus,yes,red,long,4.6,0.8,range x,na,red,long false,1,-1.8
2/8/2016,monday,down x plus,no,green,long,1.3,0,upside x,yes,green,short,4.5,0.2,down x plus,no,red,long false,0.9,-1.4
2/9/2016,tuesday,squeeze,na,red,short,1.2,-0.3,upside x plus,yes,green,long false,0.4,-4.6,down x plus,no,green,short,3.7,0.1
2/10/2016,wednesday,down x plus,no,green,long,0.9,-1,upside,yes,green,long false,0.4,-2.4,down x plus,yes,green,long,1.5,-1.2
2/11/2016,thursday,down x plus,no,red,short,0.3,-0.5,down x,no,red,short,1.1,-0.2,upside,yes,red,short,1,-0.9
2/12/2016,friday,upside x plus,no,green,short,0.3,-0.1,down x plus,yes,red,long,2.6,-0.5,upside x plus,no,green,long,1.9,0.1
2/15/2016,monday,upside x plus,no,green,long,2.2,-0.1,upside x,no,red,long,7.2,1.1,upside x plus,no,green,short,0.5,-0.9
2/16/2016,tuesday,upside x plus,no,red,na,na,na,upside x,yes,red,short,5.6,1.3,down x plus,no,red,short,0.1,-0.5
2/17/2016,wednesday,squeeze,na,green,long false,1.8,-5.5,down x plus,yes,green,long,2.1,-0.4,upside x plus,no,green,long,1.2,0.1
2/18/2016,thursday,upside x plus,no,red,short,0.4,-1.2,range x,na,red,long,0.6,-0.4,upside x,yes,green,short,3.5,0.7
2/19/2016,friday,down x plus,no,green,long,1.5,-0.6,upside x plus,yes,green,short,1.9,-0.2,down x plus,no,red,short false,0.5,-1.4
2/22/2016,monday,upside,no,green,long,1.1,-0.2,upside x plus,no,green,long,5.5,-0.4,upside x plus,no,green,short,0.6,-0.1
2/23/2016,tuesday,down x plus,no,red,short,1.8,0.1,down x plus,yes,red,long,2.6,-0.6,downside,no,red,short,0.8,-0.2
2/24/2016,wednesday,down x plus,no,red,short,1.3,0.2,down x plus,no,red,short,1.9,-0.2,down x plus,yes,green,long,4.1,-0.5
2/25/2016,thursday,upside x plus,no,red,short false,2.1,-2.1,down x plus,yes,red,long,1.7,0,range x,na,red,short false,0.5,-3.4
2/26/2016,friday,upside x plus,no,red,long,0.5,-0.4,upside x plus,no,na,long,2.7,-0.9,upside x,yes,red,short,0.7,-0.5
2/29/2016,monday,down x plus,no,green,long false,1.3,-1.9,down x plus,yes,red,short false,0.7,-2.3,upside x plus,no,red,long,1,-0.6
3/1/2016,tuesday,upside x plus,no,red,short false,0.1,-2.9,upside x plus,no,red,short false,1.3,-2.9,down x plus,yes,green,long,2.4,0.7
3/2/2016,wednesday,upside x plus,no,green,long,1.4,-1.6,down x,yes,red,short false,2.1,-2,range x,na,green,short false,0.4,-2.5
3/3/2016,thursday,upside x plus,no,green,long false,0.5,-1.4,down x plus,yes,red,long false,1.9,-1.8,downside,yes,green,long,2.3,-0.5
3/4/2016,friday,upside x plus,no,green,long,2.1,0,downside,yes,red,short false,1.6,-4,range x,na,green,long,3.8,0.2
3/7/2016,monday,upside x plus,no,green,long,1.7,0.2,upside,yes,red,long,0.4,-1.1,upside x,no,green,long,1.5,-0.3
3/8/2016,tuesday,upside x plus,no,na,short,15.6,2,down x plus,yes,green,long,3.2,-1.1,down x plus,no,red,short,0.9,-0.5
3/9/2016,wednesday,down x plus,no,red,short false,0.6,-2.3,upside x,no,red,long,6,0.3,upside x plus,no,green,long,5.1,0.3
3/10/2016,thursday,upside x plus,no,red,long false,3,-3.6,range x,na,green,short false,0.6,-1.9,down x plus,yes,green,short false,0.7,-2.2
3/11/2016,friday,upside x plus,no,green,long,5.1,0.4,upside x plus,no,red,long,1.9,-1.2,upside,yes,red,short,1.2,-0.6
3/14/2016,monday,down x plus,no,red,short,2.5,-1.2,down x plus,no,na,short,9.8,2.1,down x plus,no,red,na,na,na
3/15/2016,tuesday,squeeze,na,green,long false,1.1,-9.8,down x plus,no,red,short,0.4,-0.4,down x,no,red,short,0.7,-1.2
3/16/2016,wednesday,upside x plus,no,green,long false,0.3,-1.6,down x plus,yes,red,long,4,1.1,upside x plus,no,green,long,2.2,-0.2
3/17/2016,thursday,upside x plus,no,green,na,na,na,upside x,yes,green,long false,0.7,-1.8,upside,no,green,long,1.6,0
3/18/2016,friday,upside x plus,no,red,na,na,na,down x,yes,red,short false,0.8,-6.6,upside x plus,yes,red,short,1.7,0.3
3/21/2016,monday,down x plus,no,red,short,1.6,-1,down x plus,yes,red,long,4.8,0.9,upside x plus,no,red,short,0.9,-1.3
