Date,Day,ADR_Model,ADR_Confirmation,ADR_True_False,ADR Mid Trans,ADR Mid Box,ADR Mid Session,ODR_Model,ODR_CONF_TIME,ODR_Confirmation,ODR_True_False,ODR Box Color,ODR MAX RET TIME,ODR Close Price,ODR Close Location,ODR Mid Trans,ODR Mid Box,ODR Mid Session,TRANS MAX RET,TRANS MAX EXT,TRANS LOW TIME,TRANS HIGH TIME,RDR_Model,RDR Box Color,RDR_Confirmation,RDR_True_False,RDR_CONF_TIME,RDR IDR MID,RDR DR MID,rdr_idr_highSD,rdr_idr_lowSD,ADR Mid RDR Trans,ADR Mid RDR Box,ADR Mid RDR Session
2024-02-28,Wednesday,UXP/UX,Long,False,broken,intact,broken,DXP,4:10,Short,False,red,08:20,-1.674,Above,intact,intact,broken,-3.349,-1.674,08:30,09:20,UXP,red,Short,True,10:30,-3.198,-3.174,-3.651,-2.744,intact,intact,broken
2024-02-27,Tuesday,UXP/UX,Short,True,intact,broken,broken,RX,4:05,Short,True,red,05:00,0.118,Below,broken,intact,intact,-1.853,0.588,08:35,09:05,UXP,green,Long,True,11:00,-2.088,-1.809,-2.412,-1.765,broken,intact,intact
2024-02-26,Monday,DXP/DX,Short,True,broken,intact,broken,DX,5:35,Long,True,green,07:40,0.679,Above,intact,intact,intact,0.214,1.821,09:25,09:05,UXP,green,Long,True,11:10,2.054,1.643,3.071,1.036,broken,broken,intact
2024-02-23,Friday,UXP/UX,Long,False,intact,intact,intact,DXP,4:00,Short,True,red,04:10,2.030,Below,intact,intact,intact,0.455,2.939,09:25,08:50,DXP,red,Long,False,10:40,2.970,2.864,2.576,3.364,intact,intact,intact
2024-02-22,Thursday,UXP/UX,Short,False,intact,intact,broken,UX,4:20,Short,False,red,05:05,2.000,Below,intact,broken,broken,1.043,3.826,09:05,08:35,D,green,Long,True,11:00,0.478,0.565,-0.565,1.522,intact,broken,broken
2024-02-21,Wednesday,DXP/DX,Long,True,broken,intact,intact,DXP,8:05,Long,True,red,08:25,-0.173,Inside,broken,intact,intact,-0.519,0.577,09:10,09:00,UXP,green,Long,True,10:40,0.442,0.567,0.788,0.096,broken,broken,intact
2024-02-20,Tuesday,D,Long,True,intact,broken,intact,RX,4:25,Short,True,red,04:30,0.489,Below,broken,broken,intact,-0.660,0.660,08:35,09:25,DX,red,Short,True,10:30,0.457,0.319,-0.106,1.021,broken,broken,intact
2024-02-19,Monday,UXP/UX,NO_CONF,NO_CONF,broken,intact,broken,DX,4:20,Short,False,red,07:50,-2.609,Above,intact,intact,intact,-3.348,-1.696,09:00,09:20,UXP,green,Short,True,14:00,-3.000,-2.957,-3.565,-2.435,intact,intact,intact
2024-02-16,Friday,UXP/UX,Long,True,broken,broken,intact,DX,4:10,Short,True,red,08:25,0.000,Inside,broken,broken,broken,-2.771,0.629,08:30,09:20,UX,red,Long,True,12:10,-1.557,-1.486,-2.457,-0.657,broken,broken,broken
2024-02-15,Thursday,DXP/DX,Short,True,broken,broken,broken,RX,4:00,Long,False,green,06:25,0.023,Inside,intact,intact,intact,-0.386,1.295,08:45,09:05,UXP,green,Long,True,10:30,1.682,1.545,2.318,1.045,broken,intact,intact
2024-02-14,Wednesday,RC,Long,True,intact,intact,intact,UXP,6:00,Long,False,red,06:35,0.652,Above,intact,intact,broken,0.043,2.174,09:10,09:00,UXP,red,Short,True,10:30,1.739,1.630,2.913,0.565,intact,intact,broken
2024-02-13,Tuesday,RC,Long,True,intact,broken,broken,UX,4:30,Long,True,red,07:50,1.125,Above,broken,broken,broken,-0.938,1.687,08:45,08:30,U,red,Long,True,11:05,-0.094,0.031,0.750,-0.938,intact,broken,broken
2024-02-12,Monday,DXP/DX,Short,False,intact,broken,broken,DXP,4:35,Long,False,red,07:45,-0.828,Inside,broken,intact,intact,-2.759,0.759,08:55,09:20,UXP,green,NO_CONF,NO_CONF,,1.569,1.466,2.345,0.793,broken,broken,intact
2024-02-09,Friday,UXP/UX,Short,True,intact,broken,broken,RX,4:45,Long,False,green,08:00,-1.161,Inside,broken,intact,broken,-1.645,1.419,08:40,09:25,UXP,red,Short,True,10:40,1.306,1.290,2.290,0.323,broken,intact,broken
2024-02-08,Thursday,UXP/UX,Long,True,intact,broken,broken,RX,4:25,Short,False,red,08:05,-3.032,Above,intact,intact,intact,-4.129,-2.419,08:55,09:15,UXP,green,Long,True,10:35,-4.710,-4.516,-5.323,-4.097,intact,intact,intact
2024-02-07,Wednesday,UXP/UX,Short,True,intact,broken,broken,D,4:25,Long,True,green,06:10,0.815,Above,intact,broken,broken,-0.222,1.222,09:20,09:00,U,green,Short,False,10:45,0.130,0.185,0.889,-0.630,intact,broken,broken
2024-02-06,Tuesday,UXP/UX,Long,True,intact,broken,broken,U,4:00,Short,False,red,08:10,-1.347,Above,intact,intact,broken,-1.592,-0.837,08:40,09:25,UXP,green,Short,False,10:40,-1.653,-1.561,-2.000,-1.306,intact,intact,intact
2024-02-05,Monday,RC,Short,False,broken,broken,intact,D,4:00,Short,True,red,08:05,0.742,Below,broken,broken,broken,-1.452,0.742,08:30,09:05,DXP,red,Long,True,12:00,1.226,0.613,0.194,2.258,broken,broken,broken
2024-02-02,Friday,DXP/DX,Short,True,broken,intact,broken,DX,4:35,Long,False,red,08:25,-2.368,Below,intact,intact,intact,-3.974,-1.237,09:25,08:45,DXP,green,NO_CONF,NO_CONF,,-4.250,-4.566,-3.053,-5.447,intact,intact,intact
2024-02-01,Thursday,DXP/DX,Long,True,broken,broken,broken,DX,4:00,Long,True,NEUTRAL,07:50,1.426,Above,intact,intact,broken,-0.043,1.787,09:25,09:00,UXP,green,Short,True,11:00,1.372,1.266,1.936,0.809,broken,intact,broken
2024-01-31,Wednesday,UXP/UX,Short,True,intact,intact,intact,DX,4:10,Short,True,red,04:20,1.324,Below,intact,intact,intact,-0.351,1.405,08:35,09:15,DXP,red,Short,True,10:35,1.689,1.568,0.568,2.811,intact,intact,intact
2024-01-30,Tuesday,UXP/UX,Long,False,broken,intact,broken,DXP,4:25,Long,False,red,08:20,-1.756,Below,broken,intact,intact,-2.289,0.333,08:35,09:25,UX,red,Long,True,10:45,0.344,0.444,1.022,-0.333,intact,broken,broken
2024-01-29,Monday,UXP/UX,NO_CONF,NO_CONF,broken,broken,intact,D,4:00,Short,True,red,06:35,1.268,Below,intact,intact,intact,1.024,2.024,08:55,09:00,DXP,red,NO_CONF,NO_CONF,,3.000,2.622,2.415,3.585,intact,intact,intact
2024-01-26,Friday,UXP/UX,Short,True,intact,intact,intact,DXP,4:05,Short,True,red,06:45,1.312,Below,broken,intact,broken,-1.875,1.437,08:30,09:10,UXP,green,Long,False,10:40,-3.156,-3.312,-4.250,-2.062,intact,broken,broken
2024-01-25,Thursday,UXP/UX,Short,False,broken,intact,intact,UXP,4:05,Long,True,green,08:00,0.500,Above,intact,intact,intact,0.250,2.187,08:30,09:20,UXP,red,Short,False,10:30,2.047,2.000,2.500,1.594,intact,intact,intact
2024-01-24,Wednesday,RC,Long,False,broken,broken,broken,UXP,4:10,Long,False,red,07:35,-0.455,Inside,broken,broken,broken,-0.576,0.970,08:30,09:00,U,red,Long,True,11:00,0.106,0.091,0.939,-0.727,intact,intact,intact
2024-01-23,Tuesday,UXP/UX,Short,False,intact,intact,broken,UXP,4:00,Short,True,red,04:05,3.476,Below,intact,broken,broken,2.571,6.571,09:00,09:25,DX,green,Long,False,11:05,1.143,1.095,-0.095,2.381,intact,broken,broken
2024-01-22,Monday,DXP/DX,Long,False,broken,intact,broken,DXP,4:40,Long,True,red,05:00,2.280,Above,intact,intact,intact,1.320,3.920,08:45,09:10,UXP,green,Long,True,10:40,4.500,4.240,5.960,3.040,intact,intact,intact
