Date,Day,Holiday,ADR_Model,ADR_Confirmation,ADR_True_False,ADR Mid Trans,ADR Mid Box,ADR Mid Session,ODR_Model,ODR_CONF_TIME,ODR_Confirmation,ODR_True_False,ODR Box Color,ODR MAX RET TIME,ODR Close Price,ODR Close Location,ODR Mid Trans,ODR Mid Box,ODR Mid Session,TRANS MAX RET,TRANS MAX EXT,TRANS LOW TIME,TRANS HIGH TIME,RDR_Model,RDR Box Color,RDR_Confirmation,RDR_True_False,RDR_CONF_TIME,RDR IDR MID,RDR DR MID,rdr_idr_highSD,rdr_idr_lowSD,ADR Mid RDR Trans,ADR Mid RDR Box,ADR Mid RDR Session
2024-02-28,Wednesday,No,RC,Long,False,intact,intact,intact,DXP,04:25,Short,True,red,06:40,0.311,below,intact,intact,broken,-0.391,0.768,09:15,08:30,DXP,red,Long,True,11:00,0.914,0.921,0.258,1.570,intact,intact,intact
2024-02-27,Tuesday,No,DXP/DX,Short,True,broken,broken,intact,U,04:00,Long,True,red,08:15,0.236,above,intact,broken,broken,0.036,1.257,08:30,08:55,U,red,Short,True,12:50,0.089,-0.057,1.129,-0.950,intact,broken,broken
2024-02-26,Monday,No,DXP/DX,Long,True,broken,broken,broken,UX,04:30,Long,True,green,04:35,1.578,above,intact,intact,intact,1.089,2.556,09:25,08:40,UXP,green,Long,True,11:50,1.572,1.683,2.478,0.667,intact,intact,intact
2024-02-23,Friday,No,UXP/UX,Long,True,broken,broken,broken,D,04:25,Short,False,red,08:25,-3.400,above,intact,intact,broken,-8.089,-2.889,08:40,09:20,UXP,red,Short,True,10:40,-6.433,-6.422,-10.511,-2.356,intact,intact,broken
2024-02-22,Thursday,No,UXP/UX,Long,True,intact,intact,intact,UXP,06:15,Long,True,green,07:15,-0.031,inside,broken,broken,intact,-0.672,0.414,09:25,08:50,U,green,Long,True,11:15,0.723,0.832,2.078,-0.633,intact,intact,intact
2024-02-20,Tuesday,No,DXP/DX,Short,True,intact,intact,intact,DXP,05:05,Short,True,red,07:35,-0.419,inside,broken,broken,intact,-0.787,-0.018,09:25,08:40,D,red,Short,True,12:00,0.733,0.474,-0.559,2.026,intact,intact,intact
2024-02-16,Friday,No,UXP/UX,Short,False,intact,intact,intact,UXP,04:25,Long,True,green,08:25,-0.527,inside,intact,intact,intact,-2.919,-0.527,08:45,08:30,DXP,red,NO_CONF,NO_CONF,,-4.892,-5.068,-2.764,-7.020,broken,intact,intact
2024-02-15,Thursday,No,UXP/UX,Long,True,intact,intact,intact,UXP,04:05,Short,True,green,07:10,1.375,below,broken,intact,broken,-1.896,2.833,09:25,08:30,DXP,red,Short,False,11:05,5.844,5.052,3.063,8.625,intact,broken,broken
2024-02-14,Wednesday,No,RC,Long,True,intact,intact,intact,UXP,04:00,Long,True,green,04:05,1.583,above,intact,broken,broken,0.736,2.639,09:00,08:45,UXP,green,Short,False,11:00,2.514,2.361,5.028,0.000,intact,intact,intact
2024-02-13,Tuesday,No,DXP/DX,Long,True,intact,broken,intact,RX,04:10,Short,True,red,04:25,0.781,below,intact,intact,intact,0.335,4.386,09:25,08:30,DXP,green,Long,False,10:30,3.293,3.606,2.371,4.215,intact,intact,intact
2024-02-12,Monday,No,UXP/UX,Short,True,broken,broken,broken,UXP,04:05,Long,False,green,07:35,-0.855,inside,intact,broken,broken,-2.327,-0.745,09:15,08:30,DX,green,Long,False,10:40,-1.527,-1.773,-0.582,-2.473,broken,broken,broken
