Date,Day,RDRtoADR,BrokenADR,ADRBOX,ADRConfirm,MaxExtensionADR,MaxRetraceADR,ADRtoODR,BrokenODR,ODRBOX,ODRConfirm,MaxExtensionODR,MaxRetraceODR,ODRtoRDR,BrokenRDR,RDRBOX,RDRConfirm,MaxExtensionRDR,MaxRetraceRDR,
12/31/2007,monday,down x plus,no,green,long false,0.6,-1.4,upside x,yes,green,long,1,-1.5,down x plus,no,red,short false,1.8,-1.6,
1/3/2008,thursday,down x plus,no,green,long,2.5,-0.3,range x,na,red,short,1.5,-1.2,range x,no,green,long false,0.1,-1.6,
1/4/2008,friday,squeeze,na,red,long,2.8,0.2,upside x plus,no,green,long,1.5,-3,down x plus,no,red,short,1.6,-0.4,
1/7/2008,monday,down x plus,no,green,long,0.2,-0.8,upside,no,red,long,0.6,-0.3,downside,yes,red,short false,0.2,-1.3,
1/8/2008,tuesday,squeeze,na,green,long,4.7,0.7,upside x plus,no,green,long,2,0,upside x plus,yes,green,short,3.7,-0.5,
1/9/2008,wednesday,down x plus,no,green,long,6,-1,upside x plus,yes,red,short,1.1,-0.9,downside,yes,green,short false,1,-2.1,
1/10/2008,thursday,upside x plus,no,red,long false,0.3,-4.2,down x plus,no,red,short,2.1,-1.3,range x,no,green,long,2.3,-1,
1/11/2008,friday,upside x plus,no,green,long false,12,0.3,down x plus,no,green,short,2.3,-1,range x,no,red,long false,0.7,-2.2,
1/14/2008,monday,squeeze,na,green,short,1.1,0.3,down x,yes,green,long,1.2,0.1,upside x,no,red,long,0.8,-0.2,
1/15/2008,tuesday,upside x plus,yes,red,short,9.3,0.3,down x plus,no,green,short,4.6,-2.2,down x plus,no,red,short,1.2,-0.2,
1/16/2008,wednesday,down x plus,no,green,long,4.7,-1.3,range x,na,green,short false,0.3,-1.8,upside,yes,red,short false,0.6,-1.8,
1/17/2008,thursday,squeeze,na,red,long false,1.3,-1.9,upside x plus,yes,red,short,3.3,-0.1,down x plus,no,red,short,1.7,-0.3,
1/18/2008,friday,down x plus,no,green,long,3.5,0.5,upside x plus,yes,red,short false,0.4,-2.4,range x,no,green,short,2.3,0.3,
1/21/2008,monday,down x plus,no,red,short,2.4,0.1,down x plus,no,red,short,1.2,0.1,down x plus,no,red,short,1.1,0,
1/22/2008,tuesday,down x plus,no,red,long false,1.5,-2,down x plus,yes,green,long,13.1,-1,upside x plus,no,green,long,0.4,-0.2,
1/23/2008,wednesday,upside x,no,red,short,4.5,-0.5,upside x,yes,red,short,3.7,0.1,down x,yes,green,long,1,0,
1/24/2008,thursday,upside x plus,no,red,short false,2.4,-3,downside,yes,green,short false,0.4,-2.2,upside,no,red,long,0.2,-0.8,
1/25/2008,friday,upside x plus,no,green,long false,4.5,-4,upside x plus,yes,green,short,2.1,-0.5,range x,no,red,short,3.1,0,
1/28/2008,monday,down x plus,no,red,short,6.1,0.2,down x plus,yes,green,long,0.5,-0.3,upside,no,green,long,1.5,0,
1/29/2008,tuesday,upside x plus,no,red,short,1.5,-1.5,down x,yes,green,long,1.8,0,upside x plus,no,red,long,0.3,-0.3,
1/30/2008,wednesday,squeeze,na,red,long false,2.6,-6.4,down x plus,yes,green,long,2,-0.7,upside,yes,green,long,3.5,-1.3,
1/31/2008,thursday,down x plus,no,green,long,0.7,-0.3,upside x plus,yes,red,short,0.5,-0.6,down x,yes,green,long,2.5,-0.1,
2/1/2008,friday,upside x plus,no,red,short,0.4,-0.9,upside x plus,no,green,long,6.1,0.1,upside x,yes,green,short,0.3,-1.3,
2/4/2008,monday,upside x plus,no,red,long false,0.6,-1.7,range x,na,red,short,0.5,-1.3,down x plus,no,red,short,0.5,-0.3,
2/5/2008,tuesday,down x plus,no,red,short false,1.7,-4,upside x plus,yes,red,short,2.7,-1.5,down x plus,no,green,short,2.1,-0.7,
2/6/2008,wednesday,down x plus,no,red,short,0.6,-0.4,upside,no,green,long,0.3,-0.5,downside,yes,red,long false,0.8,-2.5,
2/7/2008,thursday,down x plus,no,red,short false,0.8,-3.9,upside x plus,yes,red,short,2.8,-0.3,range x,no,green,long,0.6,-0.8,
2/8/2008,friday,upside x plus,no,red,long false,1.6,-2.8,upside x,yes,green,short,2.5,0.3,down x,yes,green,long false,0.4,-2.3,
2/11/2008,monday,down x plus,no,green,short,3.2,-1.2,range x,na,green,long,1.2,-0.5,range x,no,red,long,0.9,0.1,
2/12/2008,tuesday,upside x plus,no,green,short false,0.6,-2.4,range x,na,red,long,2,-0.3,upside x plus,no,green,long false,0.4,-1.7,
2/13/2008,wednesday,down x,no,red,long false,1,-2.7,range x,na,red,long,2.3,0.1,upside x plus,no,red,short false,0.4,-1.7,
2/14/2008,thursday,upside x plus,no,red,short false,0.4,-3,upside x plus,yes,red,short,3.1,-0.2,down x,no,red,short,2.3,0.2,
2/15/2008,friday,down x plus,no,red,short false,1,-3.6,upside x plus,yes,green,long false,0.2,-5,down x plus,no,green,long,0.8,-1.4,
2/18/2008,monday,upside x plus,no,red,long false,0.2,-2,range x,na,red,long,3.1,0.6,upside x plus,no,green,long,1.1,0.5,
2/19/2008,tuesday,upside x plus,no,red,short false,1.2,-1.8,down x,yes,red,short false,0.8,-2.2,upside,yes,red,short,2.6,-0.5,
2/20/2008,wednesday,down x plus,no,red,short,2.6,-0.2,down x plus,yes,green,long false,1,-3,down x plus,yes,green,long,3.5,0.2,
2/21/2008,thursday,upside x plus,no,green,short false,0.8,-1.9,down x plus,yes,red,long,2,0,upside x,yes,red,short,2.6,0,
2/22/2008,friday,down x plus,no,red,long false,1.1,-1.4,upside,yes,green,short,0.3,-1,range x,no,red,short false,0.6,-1.7,
2/25/2008,monday,upside x plus,no,green,short,0.4,-1.3,down x,yes,green,long false,0.5,-1.9,downside,yes,green,long,1.5,-0.8,
2/26/2008,tuesday,upside x plus,no,green,long false,0.8,-2.6,down x plus,yes,green,long,1.3,-0.5,downside,yes,green,long,5,0,
2/27/2008,wednesday,upside x plus,no,red,long,2.5,-1,range x,na,red,short,1.5,-0.5,down x,yes,red,long,1.6,-0.9,
2/28/2008,thursday,squeeze,na,green,short,3.6,-2,range x,na,green,short,1.2,-0.5,down x,no,green,long false,0.4,-2.1,
2/29/2008,friday,down x plus,no,red,short,0.2,-0.8,upside,yes,green,short,3.1,9.2,down x plus,no,red,short,1.8,-0.4,
3/3/2008,monday,down x plus,no,red,short false,2.4,-3.2,range x,na,red,long,1.7,-0.9,upside,yes,green,short,0.2,-0.9,
3/4/2008,tuesday,squeeze,na,red,long false,1.4,-1.2,range x,na,green,short,2,-0.1,down x plus,no,green,short false,2,-2.1,
3/5/2008,wednesday,upside x plus,no,red,short,0.7,-0.5,downside,yes,red,long,1.1,-0.2,upside x plus,yes,green,long false,0.3,-2,
3/6/2008,thursday,squeeze,na,green,long,1.5,0,downside,no,red,short,1.3,-0.5,down x plus,no,red,short,1.5,-0.5,
3/7/2008,friday,down x plus,no,green,short false,0.3,-1.7,down x,yes,red,long,1.7,-1.5,range x,no,green,long false,0.4,-1.7,
3/10/2008,monday,down x plus,no,green,short,0.2,-0.6,upside,no,green,long,1.9,-0.9,upside,no,red,short,2.2,-0.1,
3/11/2008,tuesday,down x plus,no,green,long,2.6,-0.2,upside x plus,no,green,short false,1.8,-3.3,upside x plus,no,red,short false,1.3,-3.4,
