Date,Day_of_Week,RDR_Trade_Direction,RDR_Confirmation_Candle,RDR_Confirmation_Candle_15min,RDR_Confirmation_Candle_30min,RDR_Box_STD,RDR_Max_EXT_Time,RDR_Max_EXT_Time_15min,RDR_Max_EXT_Time_30min,RDR_Max_RET_Time,RDR_Max_RET_Time_15min,RDR_Max_RET_Time_30min,RDR_M7_Time,RDR_M7_Time_15min,RDR_M7_Time_30min,RDR_RBC_Time,RDR_RBC_Time_15min,RDR_RBC_Time_30min,RDR_M7_Retrace,RDR_Max_Ext_STD,RDR_Max_Ret_STD,RDR_RBC_STD,RDR_Session_True,Confirmation_Size_STD
2008-01-02,Wednesday,Short,11:10:00,11:00:00,11:00:00,-0.6226415094339622,15:05:00,15:00:00,15:00:00,14:15:00,14:15:00,14:00:00,14:15:00,14:15:00,14:00:00,10:35:00,10:30:00,10:30:00,0.07547169811320754,1.320754716981132,0.07547169811320754,-0.1509433962264151,True,0.32075471698113206
2008-01-03,Thursday,Long,12:25:00,12:15:00,12:00:00,0.09375,12:30:00,12:30:00,12:30:00,15:25:00,15:15:00,15:00:00,12:30:00,12:30:00,12:30:00,10:55:00,10:45:00,10:30:00,0.0,0.1875,-1.53125,-0.96875,False,0.15625
2008-01-04,Friday,Short,10:45:00,10:45:00,10:30:00,-1.2258064516129032,15:55:00,15:45:00,15:30:00,12:10:00,12:00:00,12:00:00,12:10:00,12:00:00,12:00:00,10:35:00,10:30:00,10:30:00,-0.3870967741935484,2.0,-0.3870967741935484,-0.1935483870967742,True,0.4838709677419355
2008-01-07,Monday,Short,10:30:00,10:30:00,10:30:00,-0.9166666666666666,10:35:00,10:30:00,10:30:00,12:50:00,12:45:00,12:30:00,10:35:00,10:30:00,10:30:00,10:30:00,10:30:00,10:30:00,-0.1,0.2,-1.2166666666666666,-0.1,False,0.21666666666666667
2008-01-08,Tuesday,Short,11:10:00,11:00:00,11:00:00,0.45714285714285713,15:55:00,15:45:00,15:30:00,14:25:00,14:15:00,14:00:00,14:25:00,14:15:00,14:00:00,10:30:00,10:30:00,10:30:00,-0.4857142857142857,3.857142857142857,-0.4857142857142857,-0.7142857142857143,True,0.2857142857142857
2008-01-09,Wednesday,Short,11:45:00,11:45:00,11:30:00,0.2926829268292683,14:15:00,14:15:00,14:00:00,15:55:00,15:45:00,15:30:00,12:25:00,12:15:00,12:00:00,10:55:00,10:45:00,10:30:00,-0.6341463414634146,1.024390243902439,-2.048780487804878,-0.926829268292683,False,0.2682926829268293
2008-01-10,Thursday,Long,10:30:00,10:30:00,10:30:00,0.5135135135135135,15:30:00,15:30:00,15:30:00,11:40:00,11:30:00,11:30:00,11:40:00,11:30:00,11:30:00,10:30:00,10:30:00,10:30:00,-0.9459459459459459,2.4864864864864864,-0.9459459459459459,-0.3783783783783784,True,0.21621621621621623
2008-01-11,Friday,Long,10:50:00,10:45:00,10:30:00,-0.28125,11:30:00,11:30:00,11:30:00,15:20:00,15:15:00,15:00:00,11:05:00,11:00:00,11:00:00,10:30:00,10:30:00,10:30:00,-0.4375,0.71875,-2.1875,-0.96875,False,0.40625
2008-01-14,Monday,Long,14:35:00,14:30:00,14:30:00,-0.5714285714285714,15:40:00,15:30:00,15:30:00,15:20:00,15:15:00,15:00:00,15:20:00,15:15:00,15:00:00,12:30:00,12:30:00,12:30:00,0.047619047619047616,1.2857142857142858,0.047619047619047616,-1.0952380952380953,True,0.7619047619047619
2008-01-15,Tuesday,Short,10:40:00,10:30:00,10:30:00,-0.6666666666666666,15:55:00,15:45:00,15:30:00,15:35:00,15:30:00,15:30:00,15:35:00,15:30:00,15:30:00,10:30:00,10:30:00,10:30:00,-0.10256410256410256,1.2564102564102564,-0.10256410256410256,-0.20512820512820512,True,0.6410256410256411
2008-01-16,Wednesday,Short,10:40:00,10:30:00,10:30:00,-0.12244897959183673,10:50:00,10:45:00,10:30:00,14:40:00,14:30:00,14:30:00,10:45:00,10:45:00,10:30:00,10:30:00,10:30:00,10:30:00,0.1836734693877551,0.6326530612244898,-1.7346938775510203,-0.3673469387755102,False,0.32653061224489793
2008-01-17,Thursday,Short,10:30:00,10:30:00,10:30:00,-0.9402985074626866,15:45:00,15:45:00,15:30:00,11:05:00,11:00:00,11:00:00,11:05:00,11:00:00,11:00:00,10:30:00,10:30:00,10:30:00,-0.2835820895522388,1.835820895522388,-0.2835820895522388,-0.05970149253731343,True,0.373134328358209
2008-01-18,Friday,Short,11:05:00,11:00:00,11:00:00,0.30434782608695654,11:55:00,11:45:00,11:30:00,11:10:00,11:00:00,11:00:00,11:10:00,11:00:00,11:00:00,10:30:00,10:30:00,10:30:00,0.32608695652173914,2.3260869565217392,0.32608695652173914,-0.7608695652173914,True,0.6304347826086957
