Date,Day,ADR Model,ADR Conf,ADR Sess,ADR Mid Trans,ADR Mid Box,ADR Mid Session,ODR Model,ODR BOX,ODR CONFO,ODR TRUERUE,ODR Confirmation Time,ODR Max Ext,ODR Max Ret,odr_false_conf_time,odr_end_of_session_SD,ODR END OF SESSION LOCATION,ODR Mid Trans,ODR Mid Box,ODR Mid Session,RDR Model,RDR BOX,RDR IDR MID,RDR DR MID,RDR Conf,RDR Sess,ADR MID RDR Trans,ADR MID RDR BOX,ADR MID RDR SESSION
2008-01-02,Wednesday,RC,Short,TRUE,intact,intact,broken,DX,GREEN,Long,TRUE,04:00,17,-0.1818,,14.1818,above,intact,intact,intact,UXP,RED,14.5,14.59,Long,TRUE,intact,intact,intact
2008-01-03,Thursday,UXP,Short,FALSE,broken,broken,intact,RX,GREEN,Long,TRUE,04:00,0.2029,-0.7536,,-0.6667,inside,intact,broken,broken,RC,RED,-0.64,-0.81,Short,FALSE,broken,broken,broken
2008-01-04,Friday,RC,Long,TRUE,broken,broken,intact,RX,RED,Short,TRUE,04:00,2.3333,-0.5833,,0.25,below,broken,intact,intact,DXP,RED,5.04,4.75,Short,TRUE,broken,intact,intact
2008-01-07,Monday,DX,Neutral,Neutral,broken,intact,broken,UX,GREEN,Long,TRUE,04:20,0.225,-1.2,,-0.05,inside,broken,intact,intact,DXP,RED,-2.34,-2.09,Short,TRUE,intact,broken,intact
2008-01-08,Tuesday,DXP,Long,TRUE,intact,intact,broken,UXP,GREEN,Short,FALSE,04:05,1.1714,-3.2,06:25,-2.7143,above,intact,intact,intact,UXP,RED,-3.19,-3.2,Short,FALSE,intact,intact,intact
2008-01-09,Wednesday,DX,Long,TRUE,intact,intact,broken,UX,RED,Long,FALSE,04:05,1.68,-2.12,08:20,-2,below,intact,intact,broken,DXP,RED,-3.79,-3.7,Long,FALSE,intact,intact,broken
2008-01-10,Thursday,DX,Long,FALSE,intact,intact,broken,RX,GREEN,Long,FALSE,04:00,0.322,-3.3559,05:15,-3.2542,below,intact,intact,intact,DXP,GREEN,-3.64,-3.68,Short,FALSE,intact,intact,intact
2008-01-11,Friday,UXP,Long,TRUE,broken,broken,broken,U,GREEN,Short,TRUE,04:35,4.7,-0.5333,,3.4333,below,intact,intact,intact,DXP,RED,4.08,4.11,Long,FALSE,intact,intact,intact
2008-01-14,Monday,DXP,Short,FALSE,intact,intact,intact,UXP,GREEN,Short,FALSE,04:40,3,-5.6471,07:00,-4,above,intact,broken,intact,UXP,RED,-3.03,-2.92,Long,TRUE,intact,intact,intact
2008-01-15,Tuesday,UXP,Short,TRUE,intact,intact,broken,DXP,RED,Long,TRUE,06:10,0.9487,-1.2051,,-0.6923,inside,broken,intact,intact,DXP,RED,-5.63,-5.31,Short,TRUE,intact,intact,intact
2008-01-16,Wednesday,RC,Short,TRUE,intact,intact,intact,DXP,RED,Short,TRUE,04:30,1.5676,-0.8108,,-0.1351,inside,broken,broken,broken,RX,RED,-0.23,-0.21,Short,TRUE,intact,intact,intact
2008-01-17,Thursday,RC,Short,FALSE,intact,broken,broken,U,RED,Short,FALSE,04:00,1.4375,-2.5625,06:35,-2,above,intact,broken,intact,RX,RED,-0.64,-0.62,Short,TRUE,intact,broken,intact
2008-01-18,Friday,DXP,Short,FALSE,intact,intact,intact,UXP,GREEN,Long,FALSE,04:00,3.7895,-2.7895,05:40,1.9474,above,intact,intact,broken,UXP,GREEN,2.07,1.94,Short,TRUE,intact,intact,intact
2008-01-22,Tuesday,DXP,Long,FALSE,intact,intact,broken,DXP,GREEN,Long,TRUE,04:00,2.2647,-0.2451,,0.8725,above,intact,intact,intact,UXP,GREEN,1.34,1.4,Long,TRUE,broken,broken,intact
2008-01-23,Wednesday,UXP,Short,TRUE,intact,broken,broken,D,GREEN,Short,TRUE,04:30,2.9375,0.1458,,2.6042,below,intact,intact,intact,DXP,GREEN,1.9,1.96,Short,TRUE,intact,intact,intact
2008-01-24,Thursday,RC,Short,TRUE,intact,broken,broken,RX,GREEN,Short,FALSE,04:50,0.5278,-2.7222,06:25,-1.3333,above,broken,broken,broken,RC,RED,-0.41,-0.25,Short,FALSE,broken,broken,broken
2008-01-25,Friday,UXP,Long,TRUE,intact,intact,intact,UXP,GREEN,Long,TRUE,08:25,0.5385,0.0769,,0.4808,above,broken,intact,broken,UXP,GREEN,1.26,1.29,Short,TRUE,intact,intact,broken
2008-01-28,Monday,DXP,Short,TRUE,intact,intact,intact,DXP,RED,Short,TRUE,04:05,2.05,-1.05,,-0.8,inside,broken,intact,broken,DXP,RED,2.42,1.89,Long,TRUE,intact,intact,broken
