Date,Day_of_Week,RDR_Trade_Direction,RDR_Confirmation_Candle,RDR_Confirmation_Candle_15min,RDR_Confirmation_Candle_30min,RDR_Box_STD,RDR_Max_EXT_Time,RDR_Max_EXT_Time_15min,RDR_Max_EXT_Time_30min,RDR_Max_RET_Time,RDR_Max_RET_Time_15min,RDR_Max_RET_Time_30min,RDR_M7_Time,RDR_M7_Time_15min,RDR_M7_Time_30min,RDR_RBC_Time,RDR_RBC_Time_15min,RDR_RBC_Time_30min,RDR_M7_Retrace,RDR_Max_Ext_STD,RDR_Max_Ret_STD,RDR_RBC_STD,RDR_Session_True,Confirmation_Size_STD
2008-01-02,Wednesday,Short,10:40:00,10:30:00,10:30:00,-0.1568627450980392,13:10:00,13:00:00,13:00:00,10:45:00,10:45:00,10:30:00,10:45:00,10:45:00,10:30:00,10:30:00,10:30:00,10:30:00,0.09803921568627451,3.2745098039215685,0.09803921568627451,-0.37254901960784315,True,0.29411764705882354
2008-01-03,Thursday,Long,12:10:00,12:00:00,12:00:00,0.06153846153846154,12:30:00,12:30:00,12:30:00,15:30:00,15:30:00,15:30:00,12:15:00,12:15:00,12:00:00,10:55:00,10:45:00,10:30:00,0.015384615384615385,0.36923076923076925,-1.1846153846153846,-0.9230769230769231,False,0.13846153846153847
2008-01-04,Friday,Short,10:35:00,10:30:00,10:30:00,-1.3278688524590163,15:50:00,15:45:00,15:30:00,12:10:00,12:00:00,12:00:00,12:10:00,12:00:00,12:00:00,10:30:00,10:30:00,10:30:00,-0.11475409836065574,2.8688524590163933,-0.11475409836065574,-0.06557377049180328,True,0.47540983606557374
2008-01-07,Monday,Short,10:30:00,10:30:00,10:30:00,-0.8943089430894309,10:35:00,10:30:00,10:30:00,12:50:00,12:45:00,12:30:00,10:35:00,10:30:00,10:30:00,10:30:00,10:30:00,10:30:00,0.2032520325203252,0.43902439024390244,-1.1382113821138211,-0.056910569105691054,False,0.4065040650406504
2008-01-08,Tuesday,Short,11:30:00,11:30:00,11:30:00,0.6986301369863014,15:55:00,15:45:00,15:30:00,14:30:00,14:30:00,14:30:00,14:30:00,14:30:00,14:30:00,10:30:00,10:30:00,10:30:00,-1.095890410958904,2.9315068493150687,-1.095890410958904,-0.8493150684931506,True,0.3013698630136986
2008-01-09,Wednesday,Short,11:50:00,11:45:00,11:30:00,0.4111111111111111,14:15:00,14:15:00,14:00:00,15:55:00,15:45:00,15:30:00,12:25:00,12:15:00,12:00:00,10:45:00,10:45:00,10:30:00,-0.45555555555555555,0.9666666666666667,-1.7777777777777777,-0.8777777777777778,False,0.3888888888888889
2008-01-10,Thursday,Long,12:15:00,12:15:00,12:00:00,0.2631578947368421,15:30:00,15:30:00,15:30:00,13:50:00,13:45:00,13:30:00,13:50:00,13:45:00,13:30:00,10:50:00,10:45:00,10:30:00,-0.7368421052631579,1.912280701754386,-0.7368421052631579,-0.9649122807017544,True,0.8771929824561403
2008-01-11,Friday,Short,11:00:00,11:00:00,11:00:00,-0.8679245283018868,15:10:00,15:00:00,15:00:00,11:30:00,11:30:00,11:30:00,11:30:00,11:30:00,11:30:00,10:50:00,10:45:00,10:30:00,-0.7924528301886793,2.169811320754717,-0.7924528301886793,-0.5849056603773585,True,0.20754716981132076
2008-01-14,Monday,Long,11:05:00,11:00:00,11:00:00,-0.06382978723404255,15:40:00,15:30:00,15:30:00,12:15:00,12:15:00,12:00:00,12:15:00,12:15:00,12:00:00,10:55:00,10:45:00,10:30:00,-0.851063829787234,1.1702127659574468,-0.851063829787234,-0.3829787234042553,True,0.8085106382978723
2008-01-15,Tuesday,Short,10:40:00,10:30:00,10:30:00,-0.7049180327868853,15:00:00,15:00:00,15:00:00,11:10:00,11:00:00,11:00:00,11:10:00,11:00:00,11:00:00,10:30:00,10:30:00,10:30:00,-0.13114754098360656,2.1475409836065573,-0.13114754098360656,-0.19672131147540983,True,0.6721311475409836
