Date,Day,ADR Model,ODR Model,ODR BOX,ODR CONFO,ODR TRUERUE,RDR open Based on ODR SD,RDR Model,RDR BOX,rdr_m7box_size,ODR Max Ret,odr_false_conf_time,odr_conf_time,odr_false_ret_b4_hoslos
2007-12-03,Monday,Contraction,Downside,RED,Short,TRUE,0.3621,Downside X Plus,RED,0.5714,-0.4569,,04:00,
2007-12-04,Tuesday,Upside X Plus,Downside X Plus,RED,Short,TRUE,2.6364,Downside X Plus,RED,0.6286,-1.2121,,04:10,
2007-12-05,Wednesday,Upside X Plus,Downside X,RED,Long,TRUE,3.7576,Upside X Plus,RED,0.5526,0.3939,,04:05,
2007-12-06,Thursday,Downside X Plus,Downside X,RED,Long,FALSE,3.6471,Upside X Plus,GREEN,0.8051,-4.6471,05:05,04:10,-0.3529
2007-12-07,Friday,Upside X Plus,Downside X Plus,RED,Short,FALSE,3.3,Downside X Plus,RED,0.9733,-2.9333,05:00,04:10,-1.4667
2007-12-10,Monday,Downside X,Downside X Plus,RED,Long,TRUE,5.8462,Upside X Plus,GREEN,0.4412,-0.3846,,04:25,
2007-12-11,Tuesday,Downside X Plus,Upside X,GREEN,Long,TRUE,1.175,Upside X Plus,RED,0.1915,-0.15,,07:45,
2007-12-12,Wednesday,Upside X Plus,Upside X,GREEN,Long,TRUE,3.8788,Upside X Plus,GREEN,0.7727,0.2727,,04:05,
2007-12-13,Thursday,Upside X Plus,Range X,RED,Long,TRUE,-1.8095,Downside X,RED,0.427,-0.1429,,04:20,
2007-12-14,Friday,Downside X Plus,Upside X,GREEN,Long,FALSE,-3.75,Downside X Plus,GREEN,0.1692,-2.175,06:40,04:10,-0.075
2007-12-17,Monday,Upside X Plus,Downside X,GREEN,Short,TRUE,1.2909,Downside X Plus,RED,0.2115,0.0364,,05:00,
2007-12-18,Tuesday,Upside X Plus,Range X,GREEN,Long,TRUE,1.8226,Upside X Plus,RED,1.1765,-0.0806,,05:15,
2007-12-19,Wednesday,Downside X Plus,Upside X Plus,GREEN,Short,TRUE,-0.2857,Range X,GREEN,0.7209,-0.1429,,04:15,
2007-12-20,Thursday,Upside X Plus,Upside X Plus,GREEN,Long,FALSE,-3.0417,Downside X Plus,RED,0.2258,-3.5833,06:15,04:45,0.0417
2007-12-21,Friday,Downside,Contraction,RED,Long,FALSE,2.7826,Upside X Plus,GREEN,0.4318,-1.9565,07:45,04:05,-0.8696
2007-12-24,Monday,Upside X Plus,Upside,RED,Short,FALSE,0.5172,Downside X Plus,RED,1.375,-1.3793,08:20,04:00,-0.931
2007-12-26,Wednesday,Upside X Plus,Upside,RED,Short,TRUE,-3.3111,Upside X Plus,GREEN,0.8837,-1.1333,,04:10,
2007-12-27,Thursday,Contraction,Range X,RED,Short,TRUE,-1.7111,Upside X,RED,0.5897,-0.6444,,04:25,
2007-12-28,Friday,Upside X Plus,Range X,RED,Short,TRUE,-1.413,Upside X Plus,GREEN,1.3143,-0.8261,,06:35,
2007-12-31,Monday,Downside X Plus,Downside X Plus,GREEN,Long,FALSE,1.0769,Range X,RED,0.8396,-2.3077,05:35,04:00,0.0385
2008-01-02,Wednesday,Contraction,Downside X,GREEN,Long,TRUE,15.7273,Upside X Plus,RED,0.5116,-0.1818,,04:00,
2008-01-03,Thursday,Upside X Plus,Range X,GREEN,Long,TRUE,-0.7246,Contraction,RED,0.3696,-0.7536,,04:00,
2008-01-04,Friday,Contraction,Range X,RED,Short,TRUE,3.0417,Downside X Plus,RED,0.49,-0.5833,,04:00,
2008-01-07,Monday,Downside X,Upside X,GREEN,Long,TRUE,-0.65,Downside X Plus,RED,1.1392,-1.2,,04:20,
2008-01-08,Tuesday,Downside X Plus,Upside X Plus,GREEN,Short,FALSE,-3.7143,Upside X Plus,RED,0.8136,-3.2,06:25,04:05,-0.9143
2008-01-09,Wednesday,Downside X,Upside X,RED,Long,FALSE,-3.6,Downside X Plus,RED,0.6047,-2.12,08:20,04:05,-1.36
2008-01-10,Thursday,Downside X,Range X,GREEN,Long,FALSE,-3.8475,Downside X Plus,GREEN,0.1887,-3.3559,05:15,04:00,-1.2034
2008-01-11,Friday,Upside X Plus,Upside,GREEN,Short,TRUE,3.6,Downside X Plus,RED,0.3721,-0.5333,,04:35,
2008-01-14,Monday,Downside X Plus,Upside X Plus,GREEN,Short,FALSE,-5.5294,Upside X Plus,RED,0.9524,-5.6471,07:00,04:40,-1.8235
2008-01-15,Tuesday,Upside X Plus,Downside X Plus,RED,Long,TRUE,-4.4872,Downside X Plus,RED,0.7077,-1.2051,,06:10,
2008-01-16,Wednesday,Contraction,Downside X Plus,RED,Short,TRUE,-1.2162,Range X,RED,1.1017,-0.8108,,04:30,
2008-01-17,Thursday,Contraction,Upside X,RED,Short,FALSE,-1.6875,Range X,RED,0.6377,-2.5625,06:35,04:00,-0.3437
2008-01-18,Friday,Downside X Plus,Upside X Plus,GREEN,Long,FALSE,1.5263,Upside X Plus,GREEN,0.1463,-2.7895,05:40,04:00,-1.6842
2008-01-22,Tuesday,Downside X Plus,Downside X Plus,GREEN,Long,TRUE,1.1471,Upside X Plus,GREEN,0.7021,-0.2451,,04:00,
2008-01-23,Wednesday,Upside X Plus,Downside,GREEN,Short,TRUE,2.625,Downside X Plus,GREEN,1.0169,0.1458,,04:30,
2008-01-24,Thursday,Contraction,Range X,GREEN,Short,FALSE,-0.5833,Contraction,RED,0.7241,-2.7222,06:25,04:50,-1.3889
2008-01-25,Friday,Upside X Plus,Upside X Plus,GREEN,Long,TRUE,0.8269,Upside X Plus,GREEN,0.3478,0.0769,,08:25,
2008-01-28,Monday,Downside X Plus,Downside X Plus,RED,Short,TRUE,0.15,Downside X Plus,RED,0.6364,-1.05,,04:05,
2008-01-29,Tuesday,Upside X Plus,Downside X,RED,Long,TRUE,-1.2258,Downside X,GREEN,0.2703,-0.0645,,04:20,
2008-01-30,Wednesday,Upside X Plus,Downside X,RED,Long,TRUE,-0.5862,Upside,RED,0.2692,-0.6552,,05:45,
2008-01-31,Thursday,Downside X Plus,Upside X,GREEN,Short,TRUE,2,Downside X Plus,RED,1.2059,-1.2424,,04:50,
2008-02-01,Friday,Upside X Plus,Upside X,RED,Long,TRUE,-1.5185,Downside X Plus,RED,0.8608,-0.5185,,04:55,
2008-02-04,Monday,Downside X Plus,Upside X,GREEN,Short,TRUE,-0.725,Range X,GREEN,0.443,0.175,,04:25,
2008-02-05,Tuesday,Upside X Plus,Downside X,RED,Short,TRUE,7.9333,Downside X Plus,GREEN,0.3023,0.3333,,04:05,
2008-02-06,Wednesday,Contraction,Downside X Plus,GREEN,Long,TRUE,3.0606,Upside X Plus,RED,1.125,-0.0606,,04:05,
2008-02-07,Thursday,Downside X Plus,Upside,GREEN,Short,TRUE,0.5672,Downside,GREEN,0.8795,-0.1045,,07:45,
2008-02-08,Friday,Upside X Plus,Upside X Plus,GREEN,Long,TRUE,1.6429,Upside X Plus,GREEN,0.6563,-0.7857,,04:45,
2008-02-11,Monday,Upside X Plus,Downside X Plus,RED,Long,TRUE,-0.6596,Downside,GREEN,0.0541,-1.0426,,04:45,
2008-02-12,Tuesday,Upside X Plus,Downside X,GREEN,Long,FALSE,-1.25,Range X,GREEN,0.8704,-4.4286,07:00,04:00,-1.3214
2008-02-13,Wednesday,Contraction,Downside X,GREEN,Short,FALSE,1.0357,Downside X Plus,GREEN,0.4091,-2.9286,04:45,04:25,-0.2857
2008-02-14,Thursday,Upside X Plus,Upside X Plus,GREEN,Long,FALSE,3.0667,Upside X Plus,GREEN,0.5682,-2.3333,05:35,04:15,
2008-02-15,Friday,Upside X Plus,Upside X Plus,RED,Long,TRUE,2.027,Upside X Plus,RED,0.4231,-1.027,,04:25,
2008-02-19,Tuesday,Downside X Plus,Upside X Plus,RED,Short,FALSE,-14.9286,Upside X Plus,RED,0.8286,-10.5714,04:55,04:10,-3.1429
2008-02-20,Wednesday,Upside X Plus,Downside,RED,Short,FALSE,0.2222,Downside,GREEN,0.4595,-1.2667,08:00,04:00,-0.8444
2008-02-21,Thursday,Upside X Plus,Upside X,RED,Short,TRUE,2.6842,Downside X Plus,RED,1.2121,-0.3684,,04:05,
2008-02-22,Friday,Downside X Plus,Upside X,RED,Long,TRUE,2.1818,Range X,RED,1.024,-0.0909,,05:00,
2008-02-25,Monday,Upside X Plus,Downside X Plus,RED,Long,FALSE,-4.2353,Downside X Plus,RED,0.4167,-5.1176,05:30,04:20,-1.2941
