Date,Day,ODR Model,ODR Type,Color,RDR Model,ADR std Based RDR open,ODR std Based RDR open,ADR or ODR bigger
1/2/2020,thursday,u,short true,green,dxp,-1.5,-2,adr
1/3/2020,friday,uxp,long true,green,uxp,4.5,1,adr
1/6/2020,monday,u,short true,green,dxp,-1,-2.5,adr
1/7/2020,tuesday,rx,long false,green,dx,-4.5,-1,odr
1/8/2020,wednesday,dxp,short true,red,dxp,-4,-1,adr
1/9/2020,thursday,dx,na,green,dxp,-2,-0.5,odr
1/10/2020,friday,d,short false,red,dxp,-0.5,-0.5,adr
1/13/2020,monday,ux,long true,green,dxp,-1,-1.5,na
1/14/2020,tuesday,dxp,long true,red,uxp,1,1.5,odr
1/15/2020,wednesday,dxp,short false,red,u,-1,0.5,odr
1/16/2020,thursday,rx,short true,green,u,0,0,odr
1/17/2020,friday,uxp,short false,green,rx,1,0,odr
1/20/2020,monday,dx,short true,red,dx,-1.5,-0.5,odr
1/21/2020,tuesday,dxp,short true,red,uxp,-4,0.5,odr
1/22/2020,wednesday,dxp,short true,red,dxp,-4,-4.5,adr
1/23/2020,thursday,rc,short true,green,dxp,-1.5,-4,adr
1/24/2020,friday,ux,short true,red,dxp,-5.5,-6,odr
1/27/2020,monday,rx,short true,red,ux,0,0,odr
1/28/2020,tuesday,u,short false,red,ux,1,0.5,odr
1/29/2020,wednesday,u,short true,green,dxp,-0.5,-1,odr
1/30/2020,thursday,dxp,long false,green,rx,-6,-1.5,odr
1/31/2020,friday,dx,short true,red,dxp,-2.5,-4,adr
2/3/2020,monday,uxp,long true,green,dx,0,-0.5,adr
2/4/2020,tuesday,uxp,long true,green,d,2,0,odr
2/5/2020,wednesday,u,long true,green,uxp,3.5,1,odr
2/6/2020,thursday,uxp,short true,green,dxp,-1,-3,adr
2/7/2020,friday,dxp,long false,na,dxp,-4,-2,odr
2/10/2020,monday,ux,short false,red,d,0,-5,odr
2/11/2020,tuesday,ux,long true,green,uxp,2.5,3.5,adr
2/12/2020,wednesday,uxp,short false,green,uxp,4,3.5,adr
2/13/2020,thursday,dx,short false,red,uxp,0,3,adr
2/14/2020,friday,rc,short false,green,uxp,2.5,4.5,adr
2/17/2020,monday,ux,short true,green,dx,0,0,adr
2/18/2020,tuesday,dxp,short true,red,ux,-3.5,-1,adr
2/19/2020,wednesday,uxp,long true,red,uxp,4.5,5.5,adr
2/20/2020,thursday,dx,long true,red,uxp,0.5,2,adr
2/21/2020,friday,dxp,short true,green,dx,-3.5,-1,adr
2/24/2020,monday,dx,short true,red,dxp,-4.5,-8.5,adr
2/25/2020,tuesday,rx,short true,red,dxp,-1,-0.5,odr
2/26/2020,wednesday,dxp,short true,red,u,-2,0,odr
2/27/2020,thursday,d,short true,green,dxp,-3.5,-5,adr
2/28/2020,friday,dxp,short true,red,dxp,-3.5,-1.5,odr
3/2/2020,monday,uxp,short true,red,dxp,1,-0.5,adr
3/3/2020,tuesday,dxp,long true,green,rx,-0.5,0,adr
3/4/2020,wednesday,dx,long true,red,uxp,1,4,adr
3/5/2020,thursday,dxp,short false,red,dx,-2,0,adr
3/6/2020,friday,dxp,short true,green,dxp,-4,-3.5,adr
3/9/2020,monday,dxp,long true,green,uxp,0,4,adr
3/10/2020,tuesday,ux,long false,red,uxp,2,1,odr
