analysis_date,current_day_idr_midpoint,high_20_level,high_50_level,high_80_level,low_20_level,low_50_level,low_80_level
2023-03-30,,,,,,,
2023-03-31,195.45,195.91,199.07,203.20,188.40,191.87,195.74
2023-04-03,198.90,201.26,203.72,208.80,192.20,198.67,200.95
2023-04-04,199.38,196.75,199.60,204.58,185.66,191.43,194.50
2023-04-05,195.83,193.26,196.05,200.94,182.36,188.02,191.05
2023-04-06,188.49,182.97,186.23,189.07,174.17,178.78,182.26
2023-04-10,182.44,183.24,184.23,185.23,177.05,177.77,178.15
2023-04-11,177.75,183.92,187.87,191.92,177.39,180.11,183.71
2023-04-12,187.05,187.24,188.65,193.62,175.93,183.35,186.38
2023-04-13,188.57,183.21,186.50,191.08,176.91,180.23,183.33
2023-04-14,183.66,184.89,189.83,194.19,176.58,180.07,185.07
2023-04-17,184.12,187.33,190.29,194.43,181.34,183.90,187.36
2023-04-18,187.09,187.53,190.55,194.50,180.34,183.66,187.37
2023-04-19,185.58,180.14,183.35,186.15,171.48,176.02,179.45
2023-04-20,179.89,174.78,177.92,182.28,168.77,171.94,174.89
2023-04-21,167.90,162.98,165.88,168.41,155.14,159.25,162.35
2023-04-24,162.91,163.94,165.75,171.86,157.83,158.93,163.30
2023-04-25,163.47,161.32,163.66,167.74,152.23,156.95,159.48
2023-04-26,160.67,161.68,163.47,169.50,155.66,156.75,161.05
2023-04-27,156.40,156.41,158.32,159.98,151.28,153.11,154.44
2023-04-28,154.63,159.51,162.11,169.40,153.79,156.25,161.37
2023-05-01,160.06,165.61,169.16,172.82,159.73,162.18,165.42
2023-05-02,161.84,161.85,163.83,165.55,156.55,158.44,159.81
2023-05-03,163.94,161.79,164.13,168.22,152.67,157.41,159.93
2023-05-04,163.19,162.90,164.48,167.96,156.51,159.92,161.92
2023-05-05,161.08,162.16,166.49,170.32,154.87,157.93,162.32
2023-05-08,165.88,171.63,175.31,179.10,165.54,168.08,171.44
2023-05-09,171.10,,,,,,
2023-05-10,168.67,175.32,176.66,177.99,166.98,167.42,167.86
2023-05-11,173.13,168.22,171.23,175.44,162.43,165.48,168.32
2023-05-12,168.25,174.09,177.83,181.66,167.91,170.48,173.89
2023-05-15,174.58,169.47,172.49,175.12,161.32,165.59,168.81
2023-05-16,167.42,167.12,168.74,172.31,160.56,164.06,166.11
2023-05-17,166.15,171.39,174.18,182.02,165.25,167.88,173.39
2023-05-18,169.81,175.70,179.47,183.35,169.46,172.06,175.50
2023-05-19,173.85,176.88,179.67,183.58,171.22,173.63,176.90
2023-05-22,179.72,180.86,182.86,189.60,174.12,175.34,180.15
2023-05-23,183.84,,,,,,
2023-05-24,189.81,184.25,187.53,190.40,175.39,180.04,183.54
2023-05-25,180.71,186.99,191.00,195.12,180.35,183.11,186.77
2023-05-26,183.16,187.12,188.37,189.27,180.65,181.80,183.49
2023-05-30,188.66,195.20,199.39,203.70,188.27,191.16,194.98
2023-05-31,201.04,201.05,203.51,205.65,194.46,196.82,198.52
2023-06-01,199.19,202.65,205.85,210.33,196.18,198.94,202.68
2023-06-02,201.86,208.86,213.34,217.95,201.44,204.53,208.62
2023-06-05,212.41,219.78,224.50,229.35,211.98,215.23,219.53
2023-06-06,219.01,218.62,220.75,225.41,210.05,214.62,217.31
2023-06-07,214.21,221.64,226.40,231.29,213.77,217.05,221.39
2023-06-08,228.13,225.14,228.40,234.09,212.45,219.04,222.56
2023-06-09,226.94,234.10,237.91,248.61,225.70,229.31,236.82
2023-06-12,249.69,249.24,251.67,256.99,239.47,244.68,247.75
2023-06-13,247.94,252.26,256.24,261.82,244.20,247.64,252.30
2023-06-14,253.68,262.48,268.11,273.90,253.16,257.04,262.18
2023-06-15,258.26,250.70,255.16,259.06,238.64,244.96,249.73
2023-06-16,254.31,257.74,258.56,261.58,250.24,250.48,254.52
2023-06-20,260.35,260.62,262.58,269.50,244.87,255.21,259.43
2023-06-21,264.37,273.54,279.41,285.44,263.83,267.87,273.23
2023-06-22,272.19,264.22,268.93,273.03,251.51,258.17,263.20
2023-06-23,257.86,259.59,266.52,272.64,247.92,252.82,259.83
2023-06-26,257.88,254.50,258.18,264.62,240.15,247.61,251.58
2023-06-27,255.85,248.58,253.04,259.25,240.03,244.54,248.74
2023-06-28,244.85,253.35,258.79,264.38,244.36,248.10,253.06
2023-06-29,254.11,262.92,268.57,274.36,253.59,257.48,262.62
2023-06-30,257.44,,,,,,
2023-07-03,262.40,265.52,268.77,275.47,253.57,262.10,265.11
2023-07-05,281.12,276.46,283.03,288.01,260.91,268.72,274.76
2023-07-06,280.75,281.41,285.95,291.88,270.63,275.60,281.17
2023-07-07,275.78,276.42,280.89,286.71,265.84,270.72,276.20
2023-07-10,277.80,274.15,278.12,285.05,258.70,266.73,271.01
2023-07-11,272.00,,,,,,
2023-07-12,269.08,278.42,284.40,290.54,268.54,272.66,278.11
2023-07-13,274.17,273.67,276.34,282.18,262.94,268.67,272.03
2023-07-14,272.49,277.23,281.60,287.73,268.37,272.15,277.27
2023-07-17,279.13,288.82,295.02,301.38,278.56,282.83,288.49
2023-07-18,288.86,293.89,298.52,305.02,284.50,288.50,293.93
2023-07-19,287.71,297.69,304.08,310.64,287.12,291.52,297.35
2023-07-20,296.10,287.42,292.54,297.00,273.59,280.84,286.31
2023-07-21,276.46,268.37,273.14,277.31,255.46,262.22,267.33
2023-07-24,260.44,,,,,,
2023-07-25,259.06,263.57,267.72,273.55,255.14,258.73,263.61
2023-07-26,269.79,261.88,266.54,270.61,249.28,255.89,260.87
2023-07-27,264.74,267.88,271.16,277.91,255.82,264.42,267.46
2023-07-28,265.74,257.95,262.55,266.55,245.55,252.05,256.96
2023-07-31,261.27,270.34,276.14,282.11,260.74,264.74,270.04
2023-08-01,265.76,266.47,266.47,266.47,260.25,260.25,260.25
2023-08-02,263.11,259.65,263.41,269.98,245.02,252.62,256.68
2023-08-03,257.14,249.84,254.32,260.57,241.24,245.78,250.00
2023-08-04,255.05,259.49,263.58,269.32,251.20,254.73,259.53
2023-08-07,260.85,253.21,257.72,261.65,241.03,247.41,252.23
2023-08-08,248.91,248.46,250.88,256.18,238.72,243.92,246.97
2023-08-09,247.78,252.10,256.08,261.65,244.04,247.48,252.14
2023-08-10,247.20,240.18,244.49,250.49,231.92,236.28,240.33
2023-08-11,248.81,241.52,245.82,249.57,229.90,235.99,240.58
2023-08-14,240.45,236.46,242.09,246.34,223.17,229.84,235.01
2023-08-15,236.55,239.74,240.50,243.31,232.76,232.99,236.75
2023-08-16,237.28,230.33,234.43,238.01,219.25,225.06,229.44
2023-08-17,231.67,225.08,229.12,234.75,217.34,221.42,225.23
2023-08-18,223.09,216.56,220.41,223.78,206.14,211.60,215.72
2023-08-21,216.38,223.88,228.69,233.63,215.93,219.25,223.63
2023-08-22,225.71,233.54,238.56,243.71,225.25,228.71,233.28
2023-08-23,237.28,236.85,239.16,244.21,227.56,232.52,235.43
2023-08-24,232.22,236.27,239.99,245.22,228.72,231.94,236.30
2023-08-25,232.30,231.88,234.14,239.09,222.79,227.64,230.49
2023-08-28,234.66,242.06,245.99,257.06,233.38,237.10,244.87
2023-08-29,240.00,238.45,242.50,250.84,228.43,233.54,237.58
2023-08-30,244.50,252.99,258.42,264.00,244.01,247.75,252.70
2023-08-31,253.55,259.04,260.76,262.01,250.08,251.66,254.01
2023-09-01,257.32,257.59,259.53,266.37,242.03,252.25,256.41
2023-09-05,254.27,250.93,254.56,260.91,236.78,244.14,248.06
2023-09-06,250.94,259.65,265.23,270.95,250.43,254.28,259.36
2023-09-07,249.02,249.03,252.08,254.73,240.87,243.79,245.90
2023-09-08,246.11,250.40,254.34,259.88,242.39,245.81,250.43
2023-09-11,254.80,263.64,269.30,275.11,254.28,258.18,263.34
2023-09-12,263.40,272.54,278.39,284.40,262.86,266.90,272.23
2023-09-13,273.48,273.76,275.83,283.09,257.22,268.08,272.51
2023-09-14,271.67,272.31,276.70,282.44,261.87,266.69,272.08
2023-09-15,272.56,281.15,285.72,298.58,271.07,275.40,284.43
2023-09-18,274.33,276.17,283.55,290.06,263.76,268.97,276.43
2023-09-19,266.90,266.91,270.18,273.02,258.17,261.30,263.56
2023-09-20,264.87,265.49,269.77,275.37,255.32,260.01,265.27
2023-09-21,266.94,259.12,263.73,267.76,246.65,253.19,258.12
2023-09-22,256.47,258.09,260.95,270.57,248.48,250.22,257.09
2023-09-25,254.31,246.86,251.26,255.09,234.99,241.22,245.91
2023-09-26,241.34,244.21,247.19,253.35,233.21,241.06,243.82
2023-09-27,245.19,245.33,245.33,245.33,234.58,234.58,234.58
2023-09-28,243.45,236.32,240.53,244.20,224.95,230.91,235.40
2023-09-29,241.25,245.45,249.32,254.75,237.61,240.95,245.49
2023-10-02,252.31,251.86,254.32,259.69,241.98,247.26,250.35
2023-10-03,246.58,250.88,254.83,260.38,242.86,246.27,250.91
2023-10-04,248.38,245.12,248.67,254.87,231.30,238.49,242.32
2023-10-05,251.45,259.38,263.60,275.46,250.08,254.07,262.40
2023-10-06,260.44,253.04,257.58,263.90,244.33,248.92,253.20
2023-10-09,252.69,261.46,267.08,272.84,252.18,256.05,261.17
2023-10-10,255.04,258.07,261.22,267.73,246.44,254.74,257.66
2023-10-11,262.94,268.63,270.41,271.71,259.33,260.98,263.41
2023-10-12,266.06,258.26,262.86,266.87,245.84,252.35,257.26
2023-10-13,263.07,258.05,259.99,266.33,248.38,253.17,256.82
2023-10-16,256.92,249.39,253.83,257.71,237.40,243.69,248.43
2023-10-17,252.31,,,,,,
2023-10-18,249.45,258.11,263.65,269.34,248.95,252.77,257.82
2023-10-19,252.38,244.99,249.35,253.16,233.21,239.39,244.04
2023-10-20,225.50,,,,,,
2023-10-23,216.22,209.88,213.62,216.88,199.78,205.08,209.07
2023-10-24,206.50,213.67,218.25,222.96,206.08,209.24,213.42
