analysis_date,current_day_idr_midpoint,high_20_level,high_50_level,high_80_level,low_20_level,low_50_level,low_80_level
3/30/23,,,,,,,
3/31/23,195.42,196.15,199.08,203.7,187.43,191.73,195.09
4/3/23,202.72,202.31,203.91,207.23,193.79,197.53,200.57
4/4/23,195.55,198.67,201.03,206.9,189.05,193.91,196.16
4/5/23,191.56,194.62,196.93,202.68,185.2,189.96,192.16
4/6/23,185.83,185.92,187.76,191.18,177.72,180.93,183.63
4/10/23,184.43,184.17,184.72,185.13,177.46,178.44,178.63
4/11/23,186.08,187.99,190.37,195.02,180.38,184.09,185.62
4/12/23,186.03,187.86,190.28,193.9,177.41,184.48,186.84
4/13/23,181.73,183.23,186.02,187.75,176.63,178.87,181.06
4/14/23,184.49,185.64,189.9,193.03,177.55,180.51,184.46
4/17/23,186.69,186.07,188.15,190.75,178.81,181.06,184.16
4/18/23,187.1,187.81,190.61,195.03,179.46,183.58,186.8
4/19/23,181.61,181.7,183.5,186.84,173.69,176.82,179.46
4/20/23,167.24,168.62,171.19,172.78,162.54,164.6,166.62
4/21/23,165.27,165.35,166.99,170.03,158.06,160.91,163.31
4/24/23,163.8,163.65,165.42,171.19,156.38,158.36,162.1
4/25/23,159.75,162.31,164.23,169.03,154.45,158.42,160.25
4/26/23,161.74,161.59,163.34,169.03,154.41,156.37,160.06
4/27/23,154.8,154.94,157.01,158.73,149.82,151.97,153.32
4/28/23,158.25,158.92,160.61,163.32,153.04,154.89,157.04
5/1/23,163.35,165.03,167.11,171.2,158.34,161.6,162.95
5/2/23,161.98,162.14,164.3,166.1,156.78,159.02,160.44
5/3/23,160.5,163.06,165,169.82,155.17,159.16,161
5/4/23,162.58,162.85,163.92,166.65,156,159.66,160.98
5/5/23,162.16,163.16,166.91,169.66,156.06,158.66,162.13
5/8/23,170.98,172.74,174.92,179.2,165.74,169.15,170.56
5/9/23,169.96,,,,,,
5/10/23,168.41,175.35,176.72,178.1,167.01,167.48,167.96
5/11/23,169.46,170.86,173.46,175.07,164.7,166.79,168.83
5/12/23,174.14,175.93,178.15,182.51,168.8,172.27,173.71
5/15/23,169.34,169.42,171.11,174.22,161.96,164.88,167.34
5/16/23,167.1,167.38,168.48,171.28,160.34,164.1,165.46
5/17/23,168.91,169.64,171.44,174.33,163.35,165.33,167.63
5/18/23,174.82,176.62,178.85,183.23,169.47,172.95,174.4
5/19/23,178.12,177.53,179.51,181.99,170.6,172.75,175.71
5/22/23,181.44,181.27,183.23,189.62,173.21,175.41,179.56
5/23/23,187.97,,,,,,
5/24/23,183.72,183.8,185.63,189.01,175.7,178.87,181.54
5/25/23,185.64,187.56,189.92,194.57,179.95,183.66,185.19
5/26/23,185.01,186.6,188.01,189.58,180.25,182.04,183.16
5/30/23,197.35,199.38,201.9,206.83,191.3,195.24,196.87
5/31/23,199.52,199.71,202.38,204.6,193.11,195.88,197.62
6/1/23,203.14,202.47,204.73,207.55,194.57,197.02,200.39
6/2/23,209.41,211.56,214.23,219.47,202.99,207.16,208.89
6/5/23,215.1,217.31,220.06,225.44,208.51,212.8,214.57
6/6/23,218.08,218.45,219.89,223.55,209.26,214.16,215.94
6/7/23,224.49,226.79,229.66,235.27,217.6,222.08,223.93
6/8/23,223.61,227.18,229.88,236.59,216.19,221.74,224.31
6/9/23,245.49,246.54,249.16,253.36,237.41,240.28,243.62
6/12/23,248.81,249.23,250.86,255.04,238.74,244.33,246.36
6/13/23,252.75,251.9,254.72,258.23,242.07,245.12,249.32
6/14/23,263.08,265.78,269.14,275.72,255.01,260.26,262.43
6/15/23,252.06,252.18,254.68,259.32,241.06,245.41,249.07
6/16/23,255.94,258.8,259.34,261.89,251.18,251.7,255.01
6/20/23,258.06,260.58,263.94,268.97,246.1,255.91,259.17
6/21/23,277.05,279.9,283.43,290.37,268.56,274.08,276.37
6/22/23,254.93,255.05,257.58,262.27,243.8,248.2,251.9
6/23/23,260.19,261.81,267.83,272.24,250.4,254.58,260.15
6/26/23,250.75,254.76,257.79,265.31,242.43,248.66,251.54
6/27/23,244.72,246.75,250.51,252.83,237.85,240.87,243.82
6/28/23,247.98,250.53,253.69,259.9,240.38,245.32,247.37
6/29/23,259.49,262.16,265.47,271.96,251.54,256.71,258.85
6/30/23,259,,,,,,
7/3/23,278.06,277.5,279.69,284.25,265.81,270.94,275.11
7/5/23,279.47,278.65,283.87,291.93,263.25,270.82,277.35
7/6/23,280.24,281.29,285.48,292.11,268.78,274.96,279.77
7/7/23,273.88,274.91,279.01,285.48,262.69,268.72,273.43
7/10/23,273.06,277.42,280.72,288.92,264,270.78,273.92
7/11/23,270.56,,,,,,
7/12/23,271.49,274.28,277.74,284.53,263.16,268.58,270.82
7/13/23,274.62,275.09,276.9,281.5,263.51,269.69,271.92
7/14/23,277.28,276.36,279.45,283.3,265.58,268.92,273.52
7/17/23,285.69,288.62,292.27,299.42,276.93,282.63,284.98
7/18/23,291.35,290.37,293.62,297.67,279.04,282.55,287.39
7/19/23,292.55,295.56,299.29,306.61,283.58,289.42,291.83
7/20/23,282.15,282.28,285.09,290.28,269.84,274.71,278.81
7/21/23,267.2,267.33,269.98,274.9,255.54,260.15,264.03
7/24/23,256.33,,,,,,
7/25/23,273.4,272.49,275.53,279.33,261.86,265.15,269.69
7/26/23,265.11,265.23,267.87,272.75,253.55,258.12,261.97
7/27/23,269.27,268.74,270.86,275.27,257.42,262.38,266.42
7/28/23,259.76,259.89,262.47,267.25,248.43,252.92,256.69
7/31/23,266.1,268.84,272.23,278.89,257.94,263.25,265.45
8/1/23,266.2,266.47,266.47,266.47,260.25,260.25,260.25
8/2/23,253.54,257.59,260.65,268.26,245.12,251.42,254.33
8/3/23,253.74,255.83,259.74,262.15,246.62,249.74,252.8
8/4/23,262.72,261.84,264.77,268.42,251.63,254.79,259.16
8/7/23,255.5,255.62,258.15,262.86,244.35,248.76,252.47
8/8/23,249.2,249.63,251.27,255.45,239.12,244.73,246.75
8/9/23,251.63,250.8,253.6,257.1,241.01,244.04,248.22
8/10/23,243.67,245.68,249.43,251.74,236.83,239.83,242.77
8/11/23,244.26,244.38,246.81,251.3,233.61,237.82,241.37
8/14/23,238.82,238.12,242.59,249.47,224.97,231.43,237.01
8/15/23,237.34,240,240.5,242.87,232.93,233.42,236.48
8/16/23,230.69,230.8,233.1,237.34,220.63,224.61,227.96
8/17/23,227.05,228.92,232.41,234.57,220.67,223.47,226.2
8/18/23,216.82,216.93,219.08,223.07,207.37,211.11,214.25
8/21/23,221.13,223.41,226.22,231.76,214.35,218.76,220.59
8/22/23,238.66,241.12,244.16,250.14,231.35,236.11,238.08
8/23/23,236.17,236.57,238.12,242.08,226.61,231.92,233.85
8/24/23,242.16,241.35,244.05,247.41,231.94,234.85,238.87
8/25/23,231.62,232.02,233.54,237.42,222.25,227.46,229.35
8/28/23,240.68,241.71,244.28,248.4,232.76,235.58,238.85
8/29/23,238.92,242.17,245.29,251.63,232,235.74,238.16
8/30/23,253.44,256.04,259.27,265.62,245.67,250.72,252.81
8/31/23,255.72,257.92,259.87,262.03,249.13,251.62,253.16
9/1/23,256.6,259.11,262.44,267.44,244.71,254.45,257.7
9/5/23,244,247.89,250.84,258.16,235.9,241.96,244.76
9/6/23,254.84,257.47,260.72,267.09,247.03,252.12,254.22
9/7/23,247.8,248.04,251.35,254.1,239.84,243.28,245.44
9/8/23,251.03,250.19,252.98,256.47,240.43,243.45,247.62
9/11/23,261.13,263.82,267.15,273.68,253.13,258.33,260.49
9/12/23,271.36,274.15,277.61,284.4,263.04,268.45,270.69
9/13/23,268.78,271.41,274.91,280.15,256.33,266.54,269.94
9/14/23,272.43,273.45,277.53,283.97,261.29,267.29,271.97
9/15/23,277.25,278.44,281.4,286.14,268.12,271.37,275.14
9/18/23,274.07,275.77,282.11,286.76,263.76,268.16,274.03
9/19/23,266.05,266.3,269.86,272.82,257.5,261.19,263.52
